공원명,설치년도,설치주소,설치운동기구종류,연간운동기구관리횟수,고장난운동기구명,위도 ,경도,담당부서명,담당부서전화번호,데이터기준일자
갈매기근린공원,,서울특별시 강남구 압구정동 480(갈매기근린공원),"농구대, 공중걷기, 평행봉, 역기올리기, 상체근육풀기, 허리돌리기, 물구나무서기, 터닝암, 레그프레스푸쉬, 워킹트레이너머신, 역기내리기, 푸쉬업철봉",12회 이상,없음,37.531496,127.030123,공원녹지과,02-3423-6244,2022-08-08
개포근린공원,,서울특별시 강남구 개포동 139(개포근린공원),"모험놀이대,물결타기,허리돌리기,어깨유연성운동,달리기,하늘걷기,등허리지압기,푸쉬업봉,역기내리기,평행봉,역기올리기,옴금펴기,상체근육풀기,윗몸일으키기,2단철봉",12회 이상,없음,37.4830336,127.063861,공원녹지과,02-3423-6245,2022-08-08
개포동근린공원,,서울특별시 강남구 개포동 13-1(개포동근린공원),"레그프레스, 등허리 젖히기, 허리돌리기, 하체흔들기, 휠돌리기, 자전거, 거꾸로 뒤집기 줄당기기, 윗몸일으키기, 평행봉, 체어웨이트",12회 이상,없음,37.489686,127.059526,공원녹지과,02-3423-6245,2022-08-08
개포서근린공원,,서울특별시 강남구 개포동 180 외 2필지(개포서근린공원),"스텝싸이클,트렁크웨이트,크로스컨트리,롤링웨이스트",12회 이상,없음,37.488628,127.064142,공원녹지과,02-3423-6245,2022-08-08
길섶근린공원,,서울특별시 강남구 역삼동 757-1(길섶근린공원),스카이워크,12회 이상,없음,37.498081,127.046708,공원녹지과,02-3423-6245,2022-08-08
늘벗근린공원,,서울특별시 강남구 대치동 501(늘벗근린공원),"허리돌리기, 윗몸일으키기, 철봉, 등허리근육풀기, 오금펴기, 파도타기, 등허리지압기, 발지압기, 달리기운동, 거꾸로매달리기, 역기올리기, 스트레칭운동기구, 유산소성 운동기구, 평행봉 ",12회 이상,없음,37.489623,127.048394,공원녹지과,02-3423-6245,2022-08-08
늘푸른근린공원,,서울특별시 강남구 일원동 690(늘푸른근린공원),"철봉 3단,거꾸리,윗몸일으키기,달리기,역기올리기,등 허리지압기, 상체근육풀기, 옆 파도타기, 하늘걷기, 온몸 허리돌리기, 허리돌리기, 평행봉, 구름다리, 통돌리기, 배드민턴",12회 이상,없음,37.489885,127.077436,공원녹지과,02-3423-6245,2022-08-08
달터근린공원,,서울특별시 강남구 개포동 156외 23필지(달터근린공원),"마사지롤,바스트풀,스카이워킹,크리스워킹",12회 이상,없음,37.485434,127.052354,공원녹지과,02-3423-6245,2022-08-08
대진근린공원,,서울특별시 강남구 개포동 13-1(대진근린공원),"웨이스트,롤링,레그프레스,워밍암,코르스워킹,풀웨이트,크로스컨트리,허리돌리기,윗몸일으키기,철봉,사이클링,철봉매달리기, 체어웨이트,스트레칭로라",12회 이상,없음,37.496049,127.0788531,공원녹지과,02-3423-6245,2022-08-08
대청근린공원,,서울특별시 강남구 일원동 621(대청근린공원),"레그프레스,체스트프레스,하체흔들기,트위스트좌식,워밍암,달리기운동,윗몸일으키기,허리돌리기,거꾸로매달리기,공중걷기",12회 이상,없음,37.49319912,127.0830019,공원녹지과,02-3423-6245,2022-08-08
대치근린공원,,서울특별시 강남구 대치동 512(대치근린공원),"평행봉, 역기, 철봉, 트위스트, 허리운동, 뱃살운동, 팔내리기운동, 다리운동, 양다리운동, 팔올리기운동, 원그리기운동, 양회전운동, 거꾸로매달리기, 타이어운동기구",12회 이상,없음,37.495123,127.061109,공원녹지과,02-3423-6244,2022-08-08
도곡근린공원,,서울특별시 강남구 도곡동 산31-1 외 193필지(도곡근린공원),"크로스컨트리, 체어웨이트, 스텝싸이클, 체어풀, 트윈트위스트, 트윈바디싣업, 평행봉, 철봉3단, 철봉1단, 팔굽혀펴기, 윗몸일으키기, 허리돌리기, 워밍암, 롤링웨이스트, 다리운동, 파워싸이클, 터닝암, 마사지롤, 바디싣업, 스탠드업, 거꾸리머신, 몸통운동, 스카이워킹, 자가발전자전거, 역기, 다리스트레칭, 전신달리기, 써핑롤링머신, 큰활차머신",12회 이하,자가발전자전거,37.48963705,127.041861,공원녹지과,02-3423-6248,2022-08-08
도곡단비소공원,,서울특별시 강남구 도곡동 539-6(도곡단비소공원),"풀웨이트,크로스컨트리,트윈트위스트",12회 이상,없음,37.493903,127.046942,공원녹지과,02-3423-6244,2022-08-08
도곡햇살 소공원,,서울특별시 강남구 도곡동 538-4(도곡햇살 소공원),"온몸근육풀기,온몸허리돌리기,공중걷기",12회 이상,없음,37.49580707,127.0523046,공원녹지과,02-3423-6244,2022-08-08
도산근린공원,,서울특별시 강남구 신사동 649-9(도산근린공원),"철봉, 평행봉, 허리돌리기, 허리운동기, 타이어허리펴기, 윗몸일으키기, 파도타기, 공중걷기, 상체근육풀기, 역기올리기, 양팔줄당기기, 입식사이클, 스텝사이클, ",12회 이상,없음,37.523911,127.0356032,공원녹지과,02-3423-6244,2022-08-08
독골근린공원,,서울특별시 강남구 도곡동 461(독골근린공원),"철봉, 평행봉, 윗몸일으키기, 옆으로돌리기, 노젓기, 파도타기, 허리돌리기, 오금펴기, 공중걷기, 역기올리기",12회 이상,없음,37.484552,127.0468249,공원녹지과,02-3423-6244,2022-08-08
매봉근린공원,,서울특별시 강남구 도곡동 527-7(매봉근린공원),런닝머신,12회 이상,없음,37.492589,127.045762,공원녹지과,02-3423-6244,2022-08-08
못골아래근린공원,,서울특별시 강남구 자곡동 607번지(못골아래근린공원),"자전거,허리돌리기",12회 이상,없음,37.47330498,127.0997276,공원녹지과,02-3423-6245,2022-08-08
물굽이근린공원,,서울특별시 강남구 세곡동 537번지(물굽이근린공원),"평행봉, 역기, 철봉, 트위스트, 허리운동, 뱃살운동, 팔내리기운동, 다리운동, 양다리운동, 팔올리기운동, 원그리기운동, 양회전운동, 거꾸로매달리기, 타이어운동기구",12회 이상,없음,37.46519,127.09404,공원녹지과,02-3423-6245,2022-08-08
반달근린공원,,서울특별시 강남구 삼성동 7-4(반달근린공원),"트리플트위스트머신, 싣업머신",12회 이상,없음,37.51611453,127.040616,공원녹지과,02-3423-6244,2022-08-08
배꽃근린공원,,서울특별시 강남구 삼성동 11-3(배꽃근린공원),"싣업머신, 웨스트업머신, 스윙워커머신, 서핑롤링머신",12회 이상,없음,37.516663,127.040299,공원녹지과,02-3423-6244,2022-08-08
배밭근린공원,,서울특별시 강남구 개포동 181외 1필지(배밭근린공원),"허리돌리기,하체들어올리기,턱걸이,평행봉,역기,푸쉬업",12회 이상,없음,37.488738,127.053642,공원녹지과,02-3423-6244,2022-08-08
봉은역사공원,,서울특별시 강남구 삼성동 75외 4필지(봉은역사공원),"온몸근육풀기, 온몸허리돌리기, 터닝암, 트위스트 ",12회 이상,없음,37.513888,127.046723,공원녹지과,02-3423-6244,2022-08-08
삼성은행나무근린공원,,서울특별시 강남구 삼성동 14외 1필지(삼성은행나무근린공원),"크로스컨트리, 워밍암, 공중매달리기, 허리돌리기, 윗몸일으키기 ",12회 이상,없음,37.516489,127.036994,공원녹지과,02-3423-6244,2022-08-08
샘터근린공원,,서울특별시 강남구 삼성동 16-4(샘터근린공원),"파크레디, 롤링웨이스트, 트윈트위스트, 자전거풍차돌리기 ",12회 이상,없음,37.514379,127.060169,공원녹지과,02-3423-6244,2022-08-08
세곡해오름근린공원,,서울특별시 강남구 세곡동 525-1(세곡해오름근린공원),"온몸역기올리기,허리돌리기,마라톤운동,온몸역기내리기,옆파도타기,하늘걷기,상체근육풀기,등허리지압기,양팔줄당기,온몸허리돌리기,노젓기운동,배드민턴",12회 이상,없음,37.474676,127.103057,공원녹지과,02-3423-6245,2022-08-08
세명근린공원,,서울특별시 강남구 자곡동 625번지(세명근린공원),"윗몸일으키기,트윈워밍암,풀웨이트,롤링웨이스트,스트레칭로라,어개돌리기",12회 이상,없음,37.469317,127.0907547,공원녹지과,02-3423-6245,2022-08-08
신사근린공원,,서울특별시 강남구 압구정동 422(신사근린공원),"파도타기, 윗몸일으키기, 역기올리기, 허리돌리기, 스카이워킹, 터닝암, 트위스트, 크로스워킹 ",12회 이상,없음,37.526708,127.021458,공원녹지과,02-3423-6244,2022-08-08
싸리고개근린공원,,서울특별시 강남구 역삼동 755-9(싸리고개근린공원),"다리펴기, 타이어, 역기, 철봉3단, 주먹단련기둥, 매달리기틀, 몸통굴리기, 목봉굴리기, 자전거타기, 입식자전거운동, 등허리근육풀기, 파도타기, 노젓기운동, 온몸허리돌리기, 허리돌리기, 오버턴스트레칭, 상체근육풀기, 달리기운동, 오금펴기, 공중걷기, 윗몸일으키기",12회 이상,없음,37.489953,127.0363246,공원녹지과,02-3423-6248,2022-08-08
언주근린공원,,서울특별시 강남구 역삼동 754-7외 1필지(언주근린공원),"체어웨이트, 스텝싸이클",12회 이상,없음,37.499059,127.043268,공원녹지과,02-3423-6244,2022-08-08
역삼동 sk뷰 소공원,,서울특별시 강남구 역삼동 716-5(역삼동 sk뷰 소공원),"롤링 웨이스트,트윈트위스트,트윈워밍암",12회 이상,없음,37.500748,127.050364,공원녹지과,02-3423-6244,2022-08-08
역삼문화공원,,서울특별시 강남구 역삼동 635 외 1필지(역삼문화공원),"터닝암, 레그프레스, 푸시웨이트, 턴오버스트레칭, 사이드스윙, 스카이워킹, 트위스트, 파워싸이클, 역기, 평행봉, 철봉, 역기, 공중걷기, 등허리지압기, 파도타기, 윗몸일으키기, 상체근육풀기, 턴오버스트레칭",12회 이상,없음,37.502655,127.025932,공원녹지과,02-3423-6244,2022-08-08
역삼미소공원,,서울특별시 강남구 역삼동 711-5(역삼미소공원),"온몸허리돌리기,하늘걷기,옆파도타기",12회 이상,없음,37.50129626,127.0440001,공원녹지과,02-3423-6244,2022-08-08
청담근린공원,,서울특별시 강남구 청담동 66외 4필지(청담근린공원),"철봉, 평행봉, 역기, 팔굽혀펴기, 공중매달리기, 윗몸일으키기, 거꾸러머신, 큰활차머신(워밍암), 트윈바디싵업, 레그스트레치, 체어웨이스트, 체어풀, 룰링웨이스트, 풀웨이스트, 트윈트위스트, 크로스컨트리",12회 이상,없음,37.520727,127.035334,공원녹지과,02-3423-6244,2022-08-08
청룡근린공원,,서울특별시 강남구 개포동 649-1(청룡근린공원),공사중,12회 이상,없음,37.485594,127.045605,공원녹지과,02-3423-6244,2022-08-08
청수근린공원,,서울특별시 강남구 청담동 134-13외 12필지(청수근린공원),"철봉, 역기, 활차머신, 트윈바디실업, 풀웨이트, 크로스컨트리, 롤링웨이스트, 트위스트 ",12회 이상,없음,37.523249,127.049676,공원녹지과,02-3423-6244,2022-08-08
탄천근린공원,,서울특별시 강남구 수서동 722(탄천근린공원),"온몸허리돌리기,마라톤운동,어깨근육풀기,허벅지근육풀기,하늘걷기,온몸노젓기,등허리지압기,허리돌리기,벤치프레스,윗몸일으키기,매달려온몸회전하기,팔운동,온몸풀기,다리펴기,다리운동,줄당기기,역기내리기,역기올리기",12회 이상,없음,37.487436,127.1062898,공원녹지과,02-3423-6245,2022-08-08
포이근린공원,,서울특별시 강남구 개포동 1239-21외 5필지(포이근린공원),"상체근육풀기,공중걷기,양팔줄당기기,하체좌우흔들기,허리돌리기",12회 이상,없음,37.479681,127.036037,공원녹지과,02-3423-6245,2022-08-08
포이근린공원(출발마당),,서울특별시 강남구 개포동 1267-1(포이근린공원),"온몸허리돌리기,마라톤운동,하늘걷기,온몸역기올리기,온몸역기내리기",12회 이상,없음,37.48239,127.05174,공원녹지과,02-3423-6245,2022-08-08
학동근린공원,,서울특별시 강남구 논현동 26(학동근린공원),"복부강화운동, 역기올리기, 어깨근육풀기, 파도타기, 허리돌리기, 허리스트레칭, 철봉(4단), 가슴운동, 역기밀어올리기, 하늘걷기, 구름사다리, 오버턴스트레칭, 윗몸일으키기, 등허리지압기, 평행봉, 매달리기(링)",12회 이상,없음,37.515548,127.0251861,공원녹지과,02-3423-6244,2022-08-08
학봉근린공원,,서울특별시 강남구 삼성동 50-3(학봉근린공원),"옆흔들기, 롤링웨이스트, 트원트위스트",12회 이상,없음,37.51278833,127.053987,공원녹지과,02-3423-6244,2022-08-08
학여울근린공원,,서울특별시 강남구 개포동 183-1외 1필지(학여울근린공원),"체어웨이스트, 허리돌리기, 철봉, 트윈웨이스트, 평행봉, 레그프레스, 윗몸일으키기, 거꾸로매달리기",12회 이상,없음,37.491018,127.059561,공원녹지과,02-3423-6244,2022-08-08
한솔근린공원,,서울특별시 강남구 일원동 732(한솔근린공원),"허리돌리기,공중걷기,평행봉,농구볼대,역기들어올리기,윗몸일으키기,파도타기",12회 이상,없음,37.480936,127.069411,공원녹지과,02-3423-6244,2022-08-08
한티근린공원,,서울특별시 강남구 대치동 212-1외 13필지(한티근린공원),"파도타기, 허리돌리기, 공중걷기, 상체근육풀기",12회 이상,없음,37.494917,127.053606,공원녹지과,02-3423-6244,2022-08-08
해찬솔근린공원,,서울특별시 강남구 자곡동 627번지 외 1(해찬솔근린공원),"풀웨이트,파워프레스,윗몸일으키기,트위스트,래그프레스,파도타기,양팔 줄당기기",12회 이상,없음,37.471058,127.092804,공원녹지과,02-3423-6244,2022-08-08
삼성목련,2010,서울특별시 강남구 삼성동 55-1,"파도타기운동,양다리운동,뱃살운동,원그리기운동,스트레칭롤러,트윈트위스트,입식싸이클,양팔줄당기기,체어웨이트",12회 이상,없음,37.51869,127.05397,공원녹지과,02-3423-6247,2022-08-08
삼성까치,2012,서울특별시 강남구 삼성동85,"큰활차머신,스윙워커머신,트위스트머신,철봉대,역기운동기구",12회 이상,없음,37.51842,127.06068,공원녹지과,02-3423-6247,2022-08-08
압구정은행나무,2011,서울특별시 강남구 압구정동 459,"오버레트풀리머신,큰활차머신,써핑롤링머신,스윙워커머신,싣업머신,체스트업머신,허리돌리기",12회 이상,없음,37.53089,127.03139,공원녹지과,02-3423-6247,2022-08-08
신사목련,2006,서울특별시 강남구 신사동 567-37,"공중걷기,옆파도타기,등배운동기구,허리돌리기,조깅운동기구",12회 이상,없음,37.52309,127.02587,공원녹지과,02-3423-6247,2022-08-08
신사은행,2007,서울특별시 강남구 압구정동 459,"옆파도타기,매달리기운동기구,조깅운동기구,허리돌리기",12회 이상,없음,37.52075,127.02598,공원녹지과,02-3423-6247,2022-08-08
신사개나리,2010,서울특별시 강남구 신사동 609-2,"마라톤운동기구,회전운동기구,허리운동기구,양회전운동기구,철봉",12회 이상,없음,37.52578,127.02947,공원녹지과,02-3423-6247,2022-08-08
신사(동)까치,2013,서울특별시 강남구 신사동 597,"트위스트,롤링웨이스트,워밍암,크로스컨트리",12회 이상,없음,37.52355,127.02921,공원녹지과,02-3423-6247,2022-08-08
신사무궁화,2008,서울특별시 강남구 신사동 625-5,"옆회전 운동기구 ,양회전운동기구,마라톤운동기구,허리운동기구,뱃살운동기구,철봉",12회 이상,없음,37.52426,127.03192,공원녹지과,02-3423-6247,2022-08-08
논현무궁화,2008,서울특별시 강남구 논현동 205-7," 워킹트레이너머신,큰활차머신,트위스트머신",12회 이상,없음,37.50683,127.03072,공원녹지과,02-3423-6247,2022-08-08
논현까치,2012,서울특별시 강남구 논현동 162-11,"풀웨이트,트윈트위스트,롤링웨이스트",12회 이상,없음,37.50853,127.02509,공원녹지과,02-3423-6247,2022-08-08
논현목련,2005,서울특별시 강남구 논현동 137-18," 허리돌리기,윗몸일으키기",12회 이상,없음,37.51104,127.02671,공원녹지과,02-3423-6247,2022-08-08
논현개나리,2007,서울특별시 강남구 논현동 150-5,"허리운동기구,팔올리기운동기구,마라톤운동기구,양다리운동기구",12회 이상,없음,37.51133,127.03009,공원녹지과,02-3423-6247,2022-08-08
논현은행,2013,서울특별시 강남구 논현동 47-13,"트윈트위스트 ,크로스컨트리,워밍암",12회 이상,없음,37.51271,127.02239,공원녹지과,02-3423-6247,2022-08-08
논현소나무,2008,서울특별시 강남구 논현동 239,"허리운동,옆회전운동,양회전운동,마라톤운동기구",12회 이상,없음,37.51577,127.03745,공원녹지과,02-3423-6247,2022-08-08
학동공원,2014,서울특별시 강남구 논현동 263-23,"크로스워킹,트위스트,큰걸음걷기,어깨돌리기",12회 이상,없음,37.51172,127.03878,공원녹지과,02-3423-6247,2022-08-08
청담은행,2009,서울특별시 강남구 청담동 94-4,"양다리운동,등허리운동,허리운동,양회전운동,노젓기운동",12회 이상,없음,37.52532,127.0443,공원녹지과,02-3423-6247,2022-08-08
청담목련,2011,서울특별시 강남구 청담동 51," 양다리운동기구,허리운동기구",12회 이상,없음,37.52313,127.04978,공원녹지과,02-3423-6247,2022-08-08
충현1공원,2009,서울특별시 강남구 역삼동 666-2," 허리돌리기 ,하늘걷기, 원그리기운동",12회 이상,없음,37.50486,127.03662,공원녹지과,02-3423-6247,2022-08-08
충현2공원,2009,서울특별시 강남구 역삼동 663-19,"양다리운동기구,허리운동기구, 양회전운동기구",12회 이상,없음,37.50551,127.03817,공원녹지과,02-3423-6247,2022-08-08
역삼은행,2009,서울특별시 강남구 역삼동 611,"양다리운동기구,팔올리기운동기구,양회전운동기구,허리운동기구,옆회전운동기구",12회 이상,없음,37.50556,127.03112,공원녹지과,02-3423-6247,2022-08-08
역삼장미,2009,서울특별시 강남구 역삼동 780-25,"하체운동기구,싸이클운동기구, 윗몸일으키기, 허리돌리기",12회 이상,없음,37.49547,127.04462,공원녹지과,02-3423-6247,2022-08-08
역삼소나무,2008,서울특별시 강남구 역삼동 836-21,"양다리운동,양회전운동, 옆회전운동,뱃살운동기구,마라톤운동",12회 이상,없음,37.49105,127.0337,공원녹지과,02-3423-6247,2022-08-08
역삼무궁화,2008,서울특별시 강남구 역삼동 830-23,"양다리운동기구, 허리운동기구,마라톤운동기구,양회전운동",12회 이상,없음,37.49399,127.03219,공원녹지과,02-3423-6247,2022-08-08
역삼까치,2008,서울특별시 강남구 역삼동 824-10,"양다리운동,뱃살운동,양회전운동,마라톤운동,옆회전운동",12회 이상,없음,37.49733,127.03066,공원녹지과,02-3423-6247,2022-08-08
역삼개나리,2008,서울특별시 강남구 역삼동 739-15,"허리운동,양회전운동,양다리운동,마라톤운동",12회 이상,없음,37.49772,127.03633,공원녹지과,02-3423-6247,2022-08-08
도곡목련,2008,서울특별시 강남구 도곡동 415-3,"옆회전운동, 양회전운동, 허리운동기구, 양다리걷기",12회 이상,없음,37.48499,127.04431,공원녹지과,02-3423-6247,2022-08-08
도곡까치,2009,서울특별시 강남구 도곡동 455,"하이풀리+하체흔들기, 스카이워킹, 트위스트, 원그리기, 등허리운동",12회 이상,없음,37.48338,127.04506,공원녹지과,02-3423-6247,2022-08-08
대치까치,2010,서울특별시 강남구 대치동 1014-4,"사이드스윙 ,터닝암, 스카이워킹",12회 이상,없음,37.49714,127.05914,공원녹지과,02-3423-6247,2022-08-08
대치목련,2011,서울특별시 강남구 대치동 929-10," 공중걷기,상체근육풀기,등허리지압기,파도타기,양팔로트당기기,마라톤운동,트위스트,윗몸일으키기",12회 이상,없음,37.49997,127.05817,공원녹지과,02-3423-6247,2022-08-08
대치은행,2009,서울특별시 강남구 대치동 899-25,"어깨돌리기,스윙워커머신,트위스트머신",12회 이상,없음,37.50183,127.05154,공원녹지과,02-3423-6247,2022-08-08
개포목련,2009,서울특별시 강남구 개포동 1176,"어깨근육풀기, 파도타기+원그리기, 공중걷기+양팔로프달리기, 허리돌리기+등허리지압기, 역기내리기+다리펴기, 공중걷기, 양회전운동",12회 이상,없음,37.47443,127.0524,공원녹지과,02-3423-6247,2022-08-08
개포은행,2008,서울특별시 강남구 개포동 1220,"마라톤달리기+공중걷기, 어깨근육풀기, 노젓기+허리돌리기",12회 이상,없음,37.47619,127.04932,공원녹지과,02-3423-6247,2022-08-08
개포까치,2009,서울특별시 강남구 개포동 169-3,"양다리, 옆회전, 양회전, 허리돌리기, 허리돌리기, 허리돌리기, 윗몸일으키기",12회 이상,없음,37.48388,127.0609,공원녹지과,02-3423-6247,2022-08-08
