공원명,설치년도,설치주소,설치운동기구종류,연간운동기구관리횟수,고장난운동기구명,위도 ,경도,담당부서명,담당부서전화번호,데이터기준일자
개포공원,2008,서울특별시 강남구 개포동 190,,12회 이상,없음,37.48525,127.07165,공원녹지과,02-3423-6247,2022-08-08
개포개나리,2009,서울특별시 강남구 일원동 612,,12회 이상,없음,37.49076,127.07435,공원녹지과,02-3423-6247,2022-08-08
한마음,2009,서울특별시 강남구 개포동 12-3,"허리운동, 옆회전운동, 양회전운동, 노젓기운동",12회 이상,없음,37.49618,127.0758,공원녹지과,02-3423-6247,2022-08-08
예지공원,2011,서울특별시 강남구 개포동 12-7,"터닝암, 레그프레스, 스카이워킹, 크로스워킹, 사이드스윙, 풀에이트",12회 이상,없음,37.49212,127.0732,공원녹지과,02-3423-6247,2022-08-08
일원은행,2012,서울특별시 강남구 일원동 615-2,"트위스팅, 바디싣업, 터닝암, 사이드스윙",12회 이상,없음,37.49223,127.07697,공원녹지과,02-3423-6247,2022-08-08
일원목련,2009,서울특별시 강남구 일원동 658,"양회전, 옆회전, 허리, 노젓기, 윗몸일으키기, 허리돌리기, 허리돌리기, 허리돌리기, 허리돌리기+등마사지, 허리돌리기+등마사지",12회 이상,없음,37.49155,127.08557,공원녹지과,02-3423-6247,2022-08-08
일원까치,2007,서울특별시 강남구 일원동 712-4,"하늘걷기, 등운동기구, 싸이클론, 등맛사지",12회 이상,없음,37.49225,127.08816,공원녹지과,02-3423-6247,2022-08-08
일원느티,2011,서울특별시 강남구 일원동 730-2,"싸이클론, 트위스트, 스카이워킹",12회 이상,없음,37.48323,127.07749,공원녹지과,02-3423-6247,2022-08-08
일원개나리,2011,서울특별시 강남구 일원동 730-3,"터닝암, 온몸노젓기, 파도타기, 평행봉, 철봉",12회 이상,없음,37.48316,127.07645,공원녹지과,02-3423-6247,2022-08-08
일원장미,2011,서울특별시 강남구 일원동 732-4,"공중걷기, 허리돌리기, 파도타기",12회 이상,없음,37.48077,127.08074,공원녹지과,02-3423-6247,2022-08-08
일원상록수,2010,서울특별시 강남구 일원동 734-1,"달리기, 허리돌리기, 옆파도타기, 어깨근육풀기, 하늘걷기, 상체근육풀기, 윗몸일으키기",12회 이상,없음,37.48221,127.08216,공원녹지과,02-3423-6247,2022-08-08
일원소나무,2011,서울특별시 강남구 일원동 718-1,"달리기+공중걷기, 어깨근육풀기+온몸근육풀기, 체어풀+허리돌리기",12회 이상,없음,37.48423,127.08177,공원녹지과,02-3423-6247,2022-08-08
일원진달래,2009,서울특별시 강남구 일원동 716-1,"양회전, 지압기, 허리돌리기",12회 이상,없음,37.48491,127.08472,공원녹지과,02-3423-6247,2022-08-08
일원새싹,2010,서울특별시 강남구 수서동 746-1,"스카이워킹, 터닝암, 사이드스윙",12회 이상,없음,37.48895,127.10531,공원녹지과,02-3423-6247,2022-08-08
일원비둘기,2010,서울특별시 강남구 일원동 735-1,"사이드스윙, 터닝암, 스카이워킹, 트위스트",12회 이상,없음,37.48344,127.0859,공원녹지과,02-3423-6247,2022-08-08
궁마을,2010,서울특별시 강남구 수서동 465-15,"옆파도타기, 온몸근육풀기, 하늘걷기, 복근운동, 트위스트",12회 이상,없음,37.48498,127.09941,공원녹지과,02-3423-6247,2022-08-08
수서까치,2008,서울특별시 강남구 수서동 736-1,"옆회전, 허리운동, 뱃살운동, 양회전, 마라톤, 철봉",12회 이상,없음,37.48728,127.09794,공원녹지과,02-3423-6247,2022-08-08
수서목련,2010,서울특별시 강남구 수서동 712-1,"마라톤, 옆회전, 큰활차+작은활차, 2인용등허리운동, 양다리, 허리운동",12회 이상,없음,37.49072,127.1037,공원녹지과,02-3423-6247,2022-08-08
수서개나리,2009,서울특별시 강남구 수서동 723-1,"역기내리기, 옆파도타기",12회 이상,없음,37.48771,127.10548,공원녹지과,02-3423-6247,2022-08-08
수서은행,2009,서울특별시 강남구 수서동 707-1,"달리기, 허리돌리기, 옆파도타기, 어깨근육풀기, 하늘걷기, 등허리지압기",12회 이상,없음,37.49149,127.09981,공원녹지과,02-3423-6247,2022-08-08
쟁골,2009,서울특별시 강남구 자곡동 233-2,"옆파도타기, 마라톤, 트위스트, 공중걷기, 터닝암",12회 이상,없음,37.48207,127.10207,공원녹지과,02-3423-6247,2022-08-08
못골,2011,서울특별시 강남구 자곡동 447-23,"달리기, 허리돌리기, 어깨근육풀기, 윗몸일으키기, 철봉, 평행봉",12회 이상,없음,37.47374,127.10009,공원녹지과,02-3423-6247,2022-08-08
아래방죽,2008,서울특별시 강남구 율현동 194-1,"허리, 양회전, 뱃살, 마라톤",12회 이상,없음,37.47345,127.10818,공원녹지과,02-3423-6247,2022-08-08
윗방죽,2009,서울특별시 강남구 율현동 308-29,"공중걷기, 트위스트, 상체근육풀기",12회 이상,없음,37.47044,127.10471,공원녹지과,02-3423-6247,2022-08-08
은곡마을,2012,서울특별시 강남구 세곡동 369-3,"싸이클머신, 멀티스탭머신, 워킹트레이너머신, 트위스트머신, 스윙워크머신, 큰활차머신",12회 이상,없음,37.46825,127.10041,공원녹지과,02-3423-6247,2022-08-08
세곡천,2013,서울특별시 강남구 세곡동 522-1,"마라톤, 옆파도타기, 하늘걷기",12회 이상,없음,37.46223,127.10193,공원녹지과,02-3423-6247,2022-08-08
대왕,2013,서울특별시 강남구 세곡동 526-2,"옆파도타기, 공중걷기, 노젓기, 온몸근육운동",12회 이상,없음,37.46891,127.10706,공원녹지과,02-3423-6247,2022-08-08
아랫반고개,2008,서울특별시 강남구 세곡동 129-13,"써핑롤링머신, 로라맛사지머신, 어깨돌리기, 스윙워커머신, 트위스트머신",12회 이상,없음,37.46405,127.10712,공원녹지과,02-3423-6247,2022-08-08
윗반고개,2013,서울특별시 강남구 세곡동 99-62,"허리돌리기, 양팔줄당기기, 하이풀리",12회 이상,없음,37.46571,127.10922,공원녹지과,02-3423-6247,2022-08-08
청담가로공원,2012,서울특별시 강남구 삼성동 80,"마라톤, 옆파도타기, 하늘걷기",12회 이상,없음,37.5211,127.06042,공원녹지과,02-3423-6247,2022-08-08
삼성차고지공원,2004,서울특별시 강남구 삼성1동 171-4,"어깨유연성, 하늘걷기, 옆파도타기, 온몸노젓기, 마라톤, 다리근육풀기, 등허리마사지",12회 이상,없음,37.51571,127.06621,공원녹지과,02-3423-6247,2022-08-08
역삼동마을마당,2013,서울특별시 강남구 역삼동 795-25,"풀웨이트, 터닝암, 트위스트, 싸이드스윙, 크로스워킹, 스카이워킹, 바디싣업, 하늘걷기, 마라톤, 마라톤, 양회전, 뱃살, 윗몸일으키기, 허리돌리기",12회 이상,없음,37.49268,127.03891,공원녹지과,02-3423-6247,2022-08-08
싸리고개마을마당,2000,서울특별시 강남구 도곡동 944-8,"양회전, 노젓기, 옆회전, 뱃살, 턴오버스트레칭, 양다리, 팔올리기, 철봉, 허리돌리기",12회 이상,없음,37.48894,127.03425,공원녹지과,02-3423-6247,2022-08-08
대치동자투리녹지,2007,서울특별시 강남구 대치동 1017-3,"하체흔들기, 온몸근육풀기, 허리돌리기",12회 이상,없음,37.49725,127.06051,공원녹지과,02-3423-6247,2022-08-08
대치마을마당,2010,서울특별시 강남구 대치동 650-2,양다리운동,12회 이상,없음,37.49271,127.05743,공원녹지과,02-3423-6247,2022-08-08
대치우리동네숲,2007,서울특별시 강남구 대치2동 979-1,"허리운동, 원그리기운동",12회 이상,없음,37.50278,127.06234,공원녹지과,02-3423-6247,2022-08-08
개포동마을마당,2009,서울특별시 강남구 개포동 647,"터닝암, 트위스트",12회 이상,없음,37.48332,127.05989,공원녹지과,02-3423-6247,2022-08-08
포이동마을마당,2010,서울특별시 강남구 개포동 1168-7,"허리운동, 뱃살운동, 양회전, 옆회전, 양다리",12회 이상,없음,37.4729,127.05185,공원녹지과,02-3423-6247,2022-08-08
양재천(영동2교~3교 좌안),,서울특별시 강남구 도곡동 468,,12회 이상,없음,37.48247793,127.0469915,공원녹지과,02-3423-6254,2022-08-08
양재천(영동2교~3교 우안),,서울특별시 강남구 개포동 1279-2,"양회전, 옆회전, 마라톤",12회 이상,없음,37.48338677,127.0502896,공원녹지과,02-3423-6254,2022-08-08
양재천(영동4교~5교 우안),,서울특별시 강남구 개포동 648-1,"마사지롤라, 에어서핑, 바디싯업, 스탠드업, 등허리지압기, 허리돌리기, 크로스워킹, 하늘걷기, 오금펴기, 입식자전거운동, 터닝암, 풀웨이트, 푸쉬웨이트, 턴오버스트레칭, 온몸허리돌리기2",12회 이상,없음,37.48955605,127.0647371,공원녹지과,02-3423-6254,2022-08-08
양재천(영동5교~6교 좌안),,서울특별시 강남구 대치동 513-3,"턴오버스트레칭, 터닝암, 마사지롤라, 푸쉬웨이트, 에어서핑, 풀웨이트, 트위스트",12회 이상,없음,37.49038095,127.0659237,공원녹지과,02-3423-6254,2022-08-08
양재천(영동6교~대치교 좌안),,서울특별시 강남구 대치동 10,"푸쉬웨이트, 터닝암, 스카이워킹, 트위스트, 크로스워킹",12회 이상,없음,37.49475382,127.0722479,공원녹지과,02-3423-6254,2022-08-08
양재천(영동6교~대치교 우안),,서울특별시 강남구 개포동 6-6,"허리돌리기, 등허리지압기, 다리뻗치기, 역기들기, 매달리기(2개), 허리돌리기 및 다리쭉뻗치기, 온몸너젓기 및 윗몸일으키기, 터닝암, 다리뻗치기, 트위스트, 턴오버스트레칭, 평행봉, 구름다리, 역기올리기, 윗몸일으키기, 크로스워킹, 푸쉬웨이트, 바디싯업, 에어서핑, 마사지롤라, 철봉, 파워싸이클, 터닝암, 푸쉬웨이트, 역기(3개), 푸쉬웨이트, 트위스트, 마사지롤, 풀웨이트, 사이드스윙, 터닝암, 허리돌리기, 양팔줄달리기",12회 이상,없음,37.49410595,127.0732048,공원녹지과,02-3423-6254,2022-08-08
탄천(대치교~탄천2교 좌안),,서울특별시 강남구 대치동 27-14,"역기올리기, 풀웨이트, 트위스트, 터닝암, 철봉, 크로스워킹, 마사지롤라, 에어서핑, 푸쉬웨이트, 바디싯업, 턴오버스트레칭, 트위스트",12회 이상,없음,37.49985689,127.0722835,공원녹지과,02-3423-6254,2022-08-08
대모산도시자연공원,2008,서울특별시 강남구 개포동 산53-22 일대,"윗몸일으키기, 제자리걷기, 가슴운동, 상체원그리기, 허리돌리기, 등허리지압기, 마라톤운동기, 온몸역기올리기, 평행봉, 철봉, 역기올리기, 하늘걷기, 옆파도타기, 허리돌리기, 3인허리돌리기",12회 이상,없음,37.47507,127.06681,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2013,서울특별시 강남구 일원동 436-31 일대,"버터플라이, 윗몸일으키기 3기, 거꾸로매달리기, 하체프레스",12회 이상,없음,37.47906,127.07508,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2000,서울특별시 강남구 일원동 436-31 일대,"벤치프레스 2기, 숄더프레스, 역기올리기 2기, 허리돌리기 2기,",12회 이상,없음,37.47906,127.07508,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2008,서울특별시 강남구 일원동 436-31 일대,"거꾸로매달리기, 등허리지압기, 파도타기, 다리펴기, 복근운동, 노젓기, 레그익스텐션",12회 이상,없음,37.47906,127.07508,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2011,서울특별시 강남구 일원동 산 63-32 일대,"벤치프레스, 씨티드체스트프레스, 하이폴리, 레그컬, 레그익스텐션, 씨티드레프레스, 버터플라이, 역기 7기, 양팔당기기, 허리등안마기, 오금펴기, 등허리지압, 등허리근육풀기, 윗몸일으키기, 노젓기, 하체근육풀기, 상체근육풀기",12회 이상,없음,37.47803,127.08212,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2004,서울특별시 강남구 일원동 산 63-32 일대,"허리돌리기, 달리기, 평행봉 5기, 철봉(3단), 철봉(1단)",12회 이상,없음,37.47803,127.08212,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2012,서울특별시 강남구 일원동 산 63-31 일대,"파도타기, 허리돌리기",12회 이상,없음,37.47804,127.08346,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2012,서울특별시 강남구 일원동 산 63-48 일대,"공중걷기, 윗몸일으키기",12회 이상,없음,37.47765,127.08032,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2013,서울특별시 강남구 일원동 산 63-48 일대,"철봉, 윗몸일으키기, 벤치프레스",12회 이상,없음,37.47765,127.08032,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2008,서울특별시 강남구 일원동 산 63-48 일대,"벤치프레스, 다리펴기",12회 이상,없음,37.47765,127.08032,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2011,서울특별시 강남구 개포동 산 217-4 일대,"양다리운동, 허리운동, 양회전운동",12회 이상,없음,37.47195,127.05315,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2008,서울특별시 강남구 개포동 산 53-40 일대,"2단허리운동, 서서허리운동, 앉아자전거타기, 레그프레스머신, 입식사이클(상), 오버터스테칭, 1단철봉, 엎드려완력기 2기, 2단철봉, 2단팔굽기, 평행봉, 양팔완력기, 3단허리돌리기 2기, 럭키틀 2기, 2인 허리돌리기 3기, 2단 철봉, 역기내리기, 공중걷기 2기, 상체근육풀기, 써핑롤링머신",12회 이상,없음,37.47248,127.05985,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2010,서울특별시 강남구 개포동 산 53-40 일대,"입식싸이클, 2인허리돌리기 2기, 제자리 걷기, 역기올리기, 노단허리운동, 역기틀 2기, 수평허리돌리기",12회 이상,없음,37.47248,127.05985,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2011,서울특별시 강남구 개포동 산 53-40 일대,"레그프레스, 수평허리돌리기",12회 이상,없음,37.47248,127.05985,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2008,서울특별시 강남구 개포동 산 53-31 일대,"2단다리운동, 2인허리돌리기 2기, 3인허리돌리기, 하체근육풀기, 2인파도타기, 벤치프레스, 평행봉 2기, 철봉 3기, 체스트풀머신, 하체프레스, 역기올리기 3기",12회 이상,없음,37.47257,127.06951,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2010,서울특별시 강남구 개포동 산 53-31 일대,"2단허리운동 2기, 서서허리운동, 거꾸로매달리기, 등허리 지압기, 파도타기, 다리펴기, 노젓기, 철봉",12회 이상,없음,37.47257,127.06951,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2013,서울특별시 강남구 개포동 산 53-30 일대,"상체근육풀기, 하체근육풀기, 윗몸일으키기 2기, 벤치프레스 2기, 다리펴기",12회 이상,없음,37.47264,127.06643,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2008,서울특별시 강남구 개포동 산 53-28 일대,2인 허리돌리기 2기,12회 이상,없음,37.47331,127.07125,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2013,서울특별시 강남구 개포동 산 53-28 일대,"공중걷기, 상체근육풀기, 앉아서 팔당기기",12회 이상,없음,37.47331,127.07125,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2008,서울특별시 강남구 개포동 산 53-32 일대,"허리돌리기, 팔다리운동, 등허리지압기, 스윙키머신, 2인허리돌리기",12회 이상,없음,37.47955,127.07144,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2013,서울특별시 강남구 개포동 산 53-32 일대,"하체근육풀기, 계단밟기",12회 이상,없음,37.47955,127.07144,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2010,서울특별시 강남구 개포동 산 46-16 일대,"체스트 풀머신, 로윙라이더머신, 옆파도타기, 롤라마사지머신, 트위스트머신",12회 이상,없음,37.48507,127.7507,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2010,서울특별시 강남구 자곡동 산 39-1 일대,"제자리걷기, 상체운동, 파도타기, 공중걷기, 허리돌리기, 레그익스텐션, 하이폴리, 레그컬, 버터플라이",12회 이상,없음,37.4771,127.09442,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2007,서울특별시 강남구 개포동 산 53-43 일대,"롤라마사지머신, 옆파도타기, 로윙라이더머신, 체스트풀머신",12회 이상,없음,37.47392,127.06902,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2008,서울특별시 강남구 개포동 산 53-43 일대,체스트풀머신,12회 이상,없음,37.47392,127.06902,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2008,서울특별시 강남구 수서동 산 3-24 일대,"역기올리기, 윗몸일으키기, 제자리걷기, 가슴운동, 상체원그리기",12회 이상,없음,37.48363,127.09986,공원녹지과,02-3423-6283,2022-08-08
대모산도시자연공원,2007,서울특별시 강남구 수서동 산 3-24 일대,허리돌리기,12회 이상,없음,37.48363,127.09986,공원녹지과,02-3423-6283,2022-08-08
인능산도시자연공원,2012,서울특별시 강남구 세곡동 산52-44 일대,"등허리지압기, 트위스트머신, 철봉, 숄더프레스, 벤치프레스",12회 이상,없음,37.46065,127.09954,공원녹지과,02-3423-6283,2022-08-08
강변(청담)오솔길,,서울특별시 강남구 청담동 107-1번지 외 10필지,"공중걷기, 거꾸로매달리기, 트위스트, 허리돌리기, 어깨근육풀기, 양팔줄당기기, 온몸근육풀기, 하이풀리운동기구, 등허리지압운동, 하체흔들기운동기구, 달리기운동기구, 윗몸일으키기 등 22종",1~2회 이하,없음,37.52844565,127.0499807,공원녹지과,02-3423-6274,2022-08-08
수서오솔길,,서울특별시 강남구 수서동 707-4번지 외 3필지,"허리돌리기, 체어풀, 공중걷기,어깨근육풀기,하체흔들기운동기구,파도타기,크로스컨트리, 롱풀웨이스트,스트레칭로라, 양팔줄당기기, 윗몸일으키기, 체스트프레스. 레그익스텐션 등 18종",1~2회 이하,없음,37.49189217,127.101602,공원녹지과,02-3423-6274,2022-08-08
세곡사거리 공공공지,,"서울특별시 강남구 세곡동 113, 120-7번지 등","레그프레스,등허리운동, 레그익스텐션, 양다리운동, 체스트프레스, 하이풀리, 벤치프레스, 암컬 등 12종",1~2회 이하,없음,37.46435138,127.1090269,공원녹지과,02-3423-6274,2022-08-08
밤고개로23길 시설녹지,2014,서울특별시 강남구 SH세곡2지구(지번미확정),"스텝사이클 워밍암, 체어풀, 트윈풀링로프 등 4종",1~2회 이하,없음,37.47181,127.10906,공원녹지과,02-3423-6274,2022-08-08
밤고개로26길 시설녹지,2014,서울특별시 강남구 SH세곡2지구(지번미확정),"역기올리기, 트윈풀로프, 크로스컨트리, 워밍암, 철봉, 롤링웨이스트, 스텝사이클, 역기내리기, 트위스트 등 10종",1~2회 이하,없음,37.46968,127.1048,공원녹지과,02-3423-6274,2022-08-08
해담공원(시설녹지),2014,서울특별시 강남구 세곡동 철도부지 상부 녹지,"파도타기, 공중걷기, 윗몸일으키기, 허리돌리기, 양팔로프당기기, 상체근육풀기, 평행봉, 턱걸이 등 12종",1~2회 이하,없음,37.47514,127.11104,공원녹지과,02-3423-6274,2022-08-08
개포문화공원,2019,서울특별시 강남구 개포동 138,"달리기,역기내리기,양파로프당기기,파도타기,오금펴기,상체근육풀기",12회 이상,없음,37.4839,127.06473,공원녹지과,02-3423-6245,2022-08-08
궁마을근린공원,2020,서울특별시 강남구 수서동 525 일원,"레그프레스,체어웨이트,롤링웨이트,코로스컨트리",12회 이상,없음,37.48359,127.09554,공원녹지과,02-3423-6245,2022-08-08
방죽소공원,2020,서울특별시 강남구 율현동 254-3 일원,"트위스트,롤링웨이스트,크로스컨트뢰",12회 이상,없음,37.4221,127.10667,공원녹지과,02-3423-6245,2022-08-08
솔밭소공원,2020,서울특별시 강남구 율현동 192-4 일원,"크로스컨트리,롤링웨이스트,워밍암,스트레칭롤러",12회 이상,없음,37.47376,127.10821,공원녹지과,02-3423-6245,2022-08-08
