시설명,주소,기구수량,기구현황,담당부서
안동체육공원,경상남도 김해시 삼안로112번길 20-61 (안동),14,가로하늘타기(1)+다리뻗치기(3)+앉아밀기(1)+온몸허리돌리기(3)+윗몸일으키기(2)+하늘걷기(4),도시개발공사 체육시설관리팀
어방체육공원,경상남도 김해시 어방동 653,13,가로하늘타기(1)+구름다리(1)+다리걸이운동(1)+다리뻗치기(1)+철봉(1)+체조링(1)+팔굽혀펴기(1)+평행봉(1)+하늘걷기(1)+허리돌리기(2)+달리기+윗몸일으키기(1)+하늘걷기+어깨운동(1),도시개발공사 체육시설관리팀
분성체육공원,경상남도 김해시 동상동 분성산 일원,12,가로타기(2)+달리기(1)+양팔줄당기기(1)+어깨운동(1)+역기당기기(1)+역기밀기(1)+온몸노젖기(1)+하늘걷기(2)+허리돌리기(2),도시개발공사 체육시설관리팀
임호체육공원,경상남도 김해시 금관대로1134번길 4 (외동),7,다리뻗치기(1)+마라톤달리기(1)+양팔줄당기기(1)+역기내리기(1)+옆파도타기(1)+하늘걷기(1)+허리돌리기(1),도시개발공사 체육시설관리팀
임호체육공원(쌍용),경상남도 김해시 금관대로1134번길 4 (외동),13,양팔줄당기기(1)+역기들기(1)+스텝터(1)+허리돌리기(1)+역기당기기(1)+가로타기(1)+허리맛사지(2)+팔운동(1)+달리기(1)+온몸노젓기(1)+어깨운동(1)+윗몸일으키기(1),도시개발공사 체육시설관리팀
장유체육공원,경상남도 김해시 대청로 345길 (부곡동),8,가로타기(2)+달리기(1)+양팔줄당기기(2)+자전거타기(1)+하늘걷기(1)+허리돌리기(1),도시개발공사 체육시설관리팀
하키경기장,경상남도 김해시 인제로284번길 15-90 (삼방동),7,가로하늘타기(1)+달리기(1)+복근기르기(1)+앉아당기기(1)+팔관절운동(1)+하늘걷기(1)+허리돌리기(1),도시개발공사 체육시설관리팀
시민체육공원,경상남도 김해시 가야로 245 (구산동),2,달리기+허리돌리기(1)+어깨돌리기+하늘걷기(1),도시개발공사 체육시설관리팀
시민체육공원(사격장),경상남도 김해시 가야로 245 (구산동),10,나무오르기(2)+다리걸기(2)+윗몸일으키기(1)+철봉(1)+팔굽혀펴기(2)+허리돌리기(2),도시개발공사 체육시설관리팀
시민체육공원(암벽장),경상남도 김해시 가야로 245 (구산동),10,나무오르기(2)+다리걸기(2)+윗몸일으키기(1)+철봉(1)+팔굽혀펴기(2)+평행봉(1)+허리돌리기(1),도시개발공사 체육시설관리팀
삼안공원,경상남도 김해시 삼방동 26,7,등허리맛사지(2)+허리운동(2)+하늘걷기(1)+하늘걷기(1)+허리돌리기(3)+좌우파도타기(2)+양팔관절운동(2),공원녹지과
인제공원,경상남도 김해시 삼방동 161-2,2,하늘걷기(2)+허리돌리기(2),공원녹지과
제말공원,경상남도 김해시 삼방동 179-2,2,하늘걷기(2)+스테퍼(2),공원녹지과
문화공원,경상남도 김해시 삼방동 198,3,등허리맛사지(2)+양팔돌리기(2)+허리돌리기(2),공원녹지과
고천공원,경상남도 김해시 삼방동 233,3,스텝퍼(2)+허리돌리기(2)+하늘걷기(2),공원녹지과
신어1공원,경상남도 김해시 삼방동 563-8,3,하늘걷기(1)+노젖기(1)+등허리맛사지(2),공원녹지과
신어2공원,경상남도 김해시 삼방동 992-4,3,노젓기+허리돌리기+하늘걷기(2)+좌우파도타기(2),공원녹지과
신어공원,경상남도 김해시 삼방동 646,5,역기당기기(2)+팔운동(2)+하늘걷기(2)+허리돌리기(2)+스텝퍼(2)+,공원녹지과
삼방공원,경상남도 김해시 삼방동 674-1,7,팔운동(2)+허리운동(1)+윗몸일으키기(2)+역기당기기(2)+좌우파도타기(2)+하늘걷기(2)+허리돌리기(2),공원녹지과
정자공원,경상남도 김해시 삼방동 678-3,6,팔운동(2)+등허리맛사지(2)+양팔줄당기기(2)+하늘걷기(2)+허리돌리기(2)+달리기,공원녹지과
동원공원,경상남도 김해시 삼방동 690-2,3,허리돌리기(2)+스텝퍼(2)+하늘걷기(2),공원녹지과
한일공원,경상남도 김해시 삼방동 691-1,3,등허리맛사지(2)+하늘걷기(2)+허리돌리기(2),공원녹지과
동상2공원,경상남도 김해시 동상동 639-5,3,하늘걷기(2)+달리기(2)+하늘걷기+허리돌리기,공원녹지과
동상3공원,경상남도 김해시 동상동 496-3,3,달리기+양팔줄당기기+윗몸일으키기+좌우파도타기+하늘걷기+허리돌리기,공원녹지과
호계공원,경상남도 김해시 동상동 1103-1,3,달리기+하늘걷기+양팔줄당기기*2+허리돌리기+팔관절운동,공원녹지과
차밭공원,경상남도 김해시 동상동 1109-3,3,달리기+하늘걷기+양팔줄당기기*2+허리돌리기+팔관절운동,공원녹지과
봉우공원,경상남도 김해시 동상동 1122-1,3,달리기+하늘걷기+양팔줄당기기*2+허리돌리기+팔관절운동,공원녹지과
남산공원,경상남도 김해시 부원동 112-3,3,역기밀기(2)+거꾸로매달리기+하늘걷기,공원녹지과
남지공원,경상남도 김해시 부원동 116-5,4,역기밀기(2)+어깨운동(2)+가로타기(2)+달리기,공원녹지과
부원공원,경상남도 김해시 부원동 607-8,2,허리돌리기+윗몸일으키기+하늘걷기+자전거,공원녹지과
다전공원,경상남도 김해시 부원동 619-4,3,하늘걷기(2)+허리돌리기(2)+역기밀어올리기(2),공원녹지과
부원역세권공원,경상남도 김해시 부원동 1053 일원,8,윗몸일으키기+양팔줄당기기+허리돌리기+역기들기+팔관절운동+달리기+좌우파도타기+하늘걷기,공원녹지과
테크노밸리1공원,경상남도 김해시 진례면 고모리 1568-1번지,5,등맛사지기+좌우파도타기+온몸근육풀기+달리기+역기밀기+역기당기기+하늘걷기+노젓기+허리돌리기+윗몸일으키기,공원녹지과
테크노밸리체육공원,경상남도 김해시 진례면 고모리 1581-5번지,6,하늘걷기+노젓기+허리돌리기+윗몸일으키기+역기밀기+역기당기기+달리기+윗몸일으키기+허리돌리기+윗몸일으키기+맛사지기+좌우파도타기,공원녹지과
테크노밸리2공원,경상남도 김해시 진례면 담안리 1565-4번지,5,온몸근육풀기+달리기+역기당기기+역기밀기+노젓기+하늘걷기+맛사지기+좌우파도타기+윗몸일으키기+허리돌리기,공원녹지과
주촌수변공원,경상남도 김해시 주촌면 내삼리 651번지,8,허리돌리기(2)+윗몸일으키기()2)+맛사지기(2)+온몸근육풀기(2)+달리기(2)+하늘걷기(2)+다리뻗치기(2)+거꾸로매달리기,공원녹지과
골든루트2소공원,경상남도 김해시 주촌면 농소리 624-1번지,3,하늘걷기(2)+달리기(2)+역기당기기(2),공원녹지과
골든루트3소공원,경상남도 김해시 주촌면 농소리 631-3번지,3,하늘걷기(2)+달리기(2)+역기당기기(2),공원녹지과
선천지구1호근린,경상남도 김해시 주촌면 선지리 1409,6,맛사지기+허리돌리기(2)+하늘걷기(2)+역기당기기+평행봉,공원녹지과
선천지구2호근린,경상남도 김해시 주촌면 천국리 1547,3,온몸근육풀기+역기당기기+평행봉+하늘걷기,공원녹지과
선천지구3호근린,경상남도 김해시 주촌면 선지리 1512,7,온몸근육풀기(2)+역기당기기+평행봉+역기당기기+평행봉+허리돌리기+하늘걷기+좌우파도타기+양팔줄당기기,공원녹지과
선천지구5호근린,경상남도 김해시 주촌면 선지리 1453,3,허리돌리기+하늘걷기+온몸근육풀기,공원녹지과
생림공원,경상남도 김해시 생림면 봉림리 630번지,12,맛사지기(2)+달리기(2)+역기당기기(2)+하늘걷기(2)+노젓기(2)+철봉(3)+좌우파도타기(2)+허리돌리기(2)+다리뻗치기(2)+역기밀기(2)+윗몸일으키기(2)+거꾸로매달리기(1),공원녹지과
장방A공원,경상남도 김해시 한림면 장방리 1955-5번지,4,온몸근육풀기(2)+허리돌리기(3)+거꾸로매달리기+노젓기,공원녹지과
상동매리이주단지,경상남도 김해시 상동면 매리 400-5번지,8,허리돌리기(2)+달리기(2)+하늘걷기(2)+온몸근육풀기(2)+좌우파도타기(2)+좌우파도타기(2)+역기당기기(2)+상체돌리기(2),공원녹지과
산정공원,경상남도 김해시 삼정동 46-5,3,노젓기(2)+맛사지기(2)+허리돌리기+하늘걷기,공원녹지과
유신공원,경상남도 김해시 삼정동 75-1,7,허리돌리기(2)+맛사지기(2)+온몸근육풀기(2)+다리뻗치기(2)+달리기+하늘걷기+거꾸로매달리기,공원녹지과
복음공원,경상남도 김해시 삼정동 99-1,7,좌우파도타기(2)+하늘걷기(2)+허리돌리기(2)+온몸근육풀기(2)+철봉(3)+달리기+맛사지기,공원녹지과
삼정공원 ,경상남도 김해시 삼정동 593-6,8,팔관절운동+달리기+하늘걷기+허리돌리기+자전거+좌우파도타기+좌우파도타기(2)+허리돌리기(2)+온몸근육풀기+양팔줄당기기+역기밀기(2)+다리뻗치기(2),공원녹지과
화인공원,경상남도 김해시 삼정동 600-11,5,달리기+다리뻗치기+양팔줄당기기(2)+하늘걷기(2)+허리돌리기(2)+윗몸+좌우파도타기,공원녹지과
활천공원,경상남도 김해시 삼정동 605-4,5,역기당기기(2)+맛사지기(2)+좌우파도타기(2)+양팔줄당기기+좌우파도타기+하늘걷기+허리돌리기,공원녹지과
삼중공원,경상남도 김해시 삼정동 639-5,4,하늘걷기(2)+허리돌리기(2)+양팔줄당기기+윗몸일으키기+영기당기기+역기밀기,공원녹지과
삼성공원,경상남도 김해시 삼정동 643-4,2,하늘걷기(2)+허리돌리기(2),공원녹지과
소방공원,경상남도 김해시 삼정동 654-5,3,자전거(2)+허리돌리기(2)+달리기(2),공원녹지과
동사공원,경상남도 김해시 삼정동 658-5,2,하늘걷기+허리돌리기+좌우파도타기+양팔줄당기기,공원녹지과
남경공원,경상남도 김해시 어방동 364-1,5,허리돌리기92)+팔굽혀펴기(2)+스트레칭+매달리기+윗몸일으키기,공원녹지과
덕숭공원,경상남도 김해시 어방동 507-4,7,윗몸일으키기(2)+허리돌리기(2)+평행봉+렛풀다운+버터플라이+체스트프레스+레그익스텐스,공원녹지과
주공공원,경상남도 김해시 어방동 721-7,4,하늘걷기(2)+허리돌리기(2)+자전거+달리기+양팔줄당기기+역기당기기,공원녹지과
송림공원,경상남도 김해시 어방동 1090,3,허리돌리기(2)+좌우파도타기(2)+하늘걷기,공원녹지과
해금공원,경상남도 김해시 어방동 1103-3,3,달리기+양팔줄당기기+운몸근육풀기+팔관절돌리기+허리돌리기+하늘걷기,공원녹지과
삼부공원,경상남도 김해시 어방동 1109-4,3,하늘걷기(2)+허리돌리기(2)+양팔줄당기기+좌우파도타기,공원녹지과
공단공원,경상남도 김해시 어방동 1114-6,5,양팔줄당기기+윗몸일으키기+허리돌리기(2)+팔관절돌리기+온몸근육풀기+달리기+맛사지기+하늘걷기+좌우파도타기,공원녹지과
자성공원,경상남도 김해시 어방동 1129-17,3,달리기+양팔줄당기기+좌우파도타기+자전거+달리기+허리돌리기,공원녹지과
불암이주단지공원,경상남도 김해시 불암동 229-50,6,허리돌리기(3)+윗몸일으키기(2)+온몸근육풀기(2)+거꾸로매달리기+달리기+하늘걷기,공원녹지과
지내공원,경상남도 김해시 지내동 311-15,4,양팔줄당기기+윗몸일으키기+역기당기기+역기밀기+노젓기+하늘걷기+맛사지기+좌우파도타기+윗몸일으키기+허리돌리기,공원녹지과
유민공원,경상남도 김해시 전하동 453,5,좌우파도타기+다리뻗치기. 하늘걷기+허리돌리기+역기당기기+역기밀기+양팔줄당기기+턱걸이+하늘걷기+달리기,공원녹지과
비비추공원,경상남도 김해시 흥동 45-3,3,허리돌리기(2)+하늘걷기+달리기,공원녹지과
한걸음공원,경상남도 김해시 흥동 53-2,-,리모델링 중,공원녹지과
아이뜰공원,경상남도 김해시 흥동 56-5,4,허리돌리기(3)+역기밀기(2)+하늘걷기+철봉(3),공원녹지과
창의뜰공원,경상남도 김해시 흥동 415-7,3,하늘걷기+허리돌리기(3)+맛사지기(2),공원녹지과
풍유1공원,경상남도 김해시 풍유동 887,2,허리돌리기(2)+맛사지기(2),공원녹지과
해님공원,경상남도 김해시 이동 112-10,4,하늘걷기+양팔줄당기기+윗몸일으키기+다리뻗치기+역기밀기+온몸근육풀기+평행봉,공원녹지과
방울공원,경상남도 김해시 이동 186-3,3,자전거+달리기+역기밀기+역기당기기+허리돌리기+하늘걷기,공원녹지과
애기나리공원,경상남도 김해시 화목동 487-2,3,자전거+달리기+역기당기기+역기밀기+하늘걷기+허리돌리기,공원녹지과
동심공원,경상남도 김해시 화목동 585-6,3,다리뻗치기+허리돌리기+자전거+하늘걷기+윗몸일으키기+양팔줄당기기,공원녹지과
바람개비공원,경상남도 김해시 화목동 703-3,2,양팔줄당기기+좌우파도타기+하늘걷기+허리돌리기,공원녹지과
아이공원,경상남도 김해시 화목동 1053-3,6,자전거+허리돌리기+양팔줄당기기(2)+좌우파도타기(2)+하늘걷기(2)+허리돌리기(2),공원녹지과
두곡공원,경상남도 김해시 삼계동 산183-4,4,윗몸일으키기+좌우파도타기+하늘걷기+양팔줄당기기+달리기+양팔운동+허리돌리기,공원녹지과
삼계근린공원,경상남도 김해시 삼계동 32,18,온몸근육풀기(2)+레그익스텐스+노젓기+역기밀기92)+달리기+허리돌리기(2)+허리돌리기(2)+허리돌리기(3)+윗몸일으키기(2)+철봉(2)+온몸근육풀기(2)+좌우파도타기(2)+평행봉+달리기+온몸근육풀기+좌우파도타기+달리기+하늘걷기+하전거+허리돌리기,공원녹지과
화정공원,경상남도 김해시 삼계동 1437,6,허리돌리기+달리기+역기당기기+평행봉+역기밀기+온몸근육풀기+좌우파도타기+양팔줄당기기+다리뻗기+윗몸일으키기+하늘걷기+양팔운동,공원녹지과
수리공원,경상남도 김해시 삼계동 1520-7,7,철봉(3)+달리기+자전거+윗몸일으키기+허리돌리기+양팔운동+온몸근육풀기+하늘걷기+양팔운동+역기당기기+평행봉+허리돌리기+달리기,공원녹지과
초롱별공원,경상남도 김해시 삼계동 1410-3,3,온몸근육풀기(2)+맛사지(2)+달리기,공원녹지과
나눔공원,경상남도 김해시 삼계동 1423,4,달리기+양팔줄당기기+하늘걷기+허리돌리기+좌우파도타기+윗몸일으키기+자전거+하늘걷기,공원녹지과
달개비공원,경상남도 김해시 삼계동 1428-3,8,다리뻗기(2)+온몸근육풀기(2)+맛사지(2)+양팔줄당기기(2)+좌우파도타기(2)+하늘걷기(2)+허리돌리기(2)+달리기(2)+자전거(2),공원녹지과
띠앗공원,경상남도 김해시 삼계동 1438-1,4,좌우파도타기(2)+달리기+하늘걷기,공원녹지과
한마음공원,경상남도 김해시 삼계동 1439-3,9,맛사지기(2)+좌우파도타기(2)+달리기+허리돌리기+하늘걷기+양팔운동+허리돌리기+노젓기+온몸근육풀기+역기밀기+양팔줄당기기+하늘걷기+허리돌리기+달리기+달리기 ,공원녹지과
희망공원,경상남도 김해시 삼계동 1459-5,3,좌우파도타기(2)+맛사지기(2)+달리기,공원녹지과
참나리공원,경상남도 김해시 삼계동 1492-2,3,좌우파도타기(2)+하늘걷기+달리기,공원녹지과
매정공원,경상남도 김해시 삼계동 1504-2,2,맛사지기(2)+온몸근육풀기(2),공원녹지과
미리내공원,경상남도 김해시 삼계동 1515-1,3,철봉(3)+하늘걷기+달리기+양팔운동+허리돌리기,공원녹지과
삼어지구공원2,경상남도 김해시 삼정동 449-1,3,역기밀기(2)+양팔운동(2)+좌우파도타기(2),공원녹지과
부봉지구공원1,경상남도 김해시 봉황동966,3,양팔운동(2)+다리뻗기(2)+맛사지기(2),공원녹지과
부봉지구공원2,경상남도 김해시 봉황동916,3,하늘걷기(2)+맛사지기(2)+온몸근육풀기(2),공원녹지과
서김해공원A,경상남도 김해시 풍유동1002-8,4,양팔줄당기기+좌우파도타기+자전거+달리기+윗몸일으키기+좌우파도타기+하늘걷기+허리돌리기,공원녹지과
서김해공원B,경상남도 김해시 명법동1121-1,3,허리돌리기+하늘걷기+달리기+양팔운동+좌우파도타기+윗몸일으키기,공원녹지과
진영공원,경상남도 김해시 진영리 396,7,허리돌리기(3)+윗몸일으키기(2)+역기밀기(2)+하늘걷기+달리기+철봉+철봉,공원녹지과
진영역사공원,경상남도 김해시 진영리 275-34,9,달리기+맛시지+역기당기기+평행봉+양팔줄당기기+하늘걷기+역기당기기(2)+윗몸일으키기+다리뻗기+좌우파도타기+허리돌리기+철봉(3)+자전거(2)+자전거(2),공원녹지과
장등바람공원,경상남도 김해시 진영리 1282-1,5,온몸근육풀기(2)+파워프레스+역기당기기+스탠드업+맛사지+좌우파도타기+온몸근육풀기+하늘걷기(2),공원녹지과
진산어린이공원,경상남도 김해시 진영리1363-1,5,맛사지기+스탠드업+달리기(2)+좌우파도타기+온몸근육풀기+다리뻗기(2)+풀웨이트(2),공원녹지과
수홍공원,경상남도 김해시 진영리 1557,3,좌우파도타기(2)+허리돌리기(3)+달리기,공원녹지과
주천공원,경상남도 김해시 진영리 1586-13,6,철봉(2)+철봉(3)+헐디ㅗㄹ리기(2)+윗몸일으키기(2)+스트레칭+스트레칭,공원녹지과
서어지공원,경상남도 김해시 진영리 1614-4,11,허리돌리기(2)+허리돌리기(2)+철봉(3)+윗몸일으키기(2)+철봉(2)+허리돌리기(3)+평행봉+매달리기+좌우파도타기+거꾸로매달리기+하늘걷기,공원녹지과
서재골어린이공원,경상남도 김해시 진영리 1701-7,4,양팔운동+운몸근육풀기+좌우파도타기+양팔운동+자전거,공원녹지과
정창골어린이공원,경상남도 김해시 진영리 1707,5,역기밀기(2)+온몸근육풀기+양팔줄당기기+발맛사지+다리뻗기+좌우파도타기,공원녹지과
오리방어린이공원,경상남도 김해시 진영리 1718,3,좌우파도타기+온몸근육풀기+맛사지기+스탠드업+파워프레스+풀웨이트,공원녹지과
주호공원,경상남도 김해시 진영리 1754,12,맛사지기(2)+달리기(2)+다리뻗기(2)+역기밀기(2)+역기당기기(20+양팔줄당기기+달리기+발맛사지기+다리뻗기+자전거+핸드사이클+자전거+좌우파도타기,공원녹지과
본산공원,경상남도 김해시 진영리 1758,9,양팔운동+온몸근육풀기+하늘걷기+좌우파도타기+역기밀기(2)+역기당기기+허리달리기+벤치프레스+허리돌리기+허리돌리기+자전거+자전거,공원녹지과
동어지곡류공원,경상남도 김해시 진영리 1777,5,달리기양팔운동+역기밀기(2)+역기당기기+허리돌리기+하늘걷기+좌우파도타기,공원녹지과
납작개어린이공원,경상남도 김해시 진영리1796,6,역기당기기(2)+역기밀기(2)+다리뻗기(2)+달리기(2)+다리뻗기+맛사지기,공원녹지과
금병공원,경상남도 김해시 여래리 793,13,좌우파도타기(2)+허리돌리기(3)+역기당기기(2)+철봉(2)+윗몸일으키기(2)+양팔운동+달리기+하늘걷기+허리돌리기+자전거+달리기+맛사지기(2)+양팔운동(2)+거꾸로매달리기+하늘걷기+달리기,공원녹지과
대창들공원,경상남도 김해시 여래리 992,5,자전거+허리돌리기+허리돌리기+온몸근육풀기+양팔운동,공원녹지과
야시골공원,경상남도 김해시 여래리 996,6,양팔운동+달리기+역기밀기(2)+양팔운동+온몸근육풀기+자전거+자전거+허리돌리기,공원녹지과
용성어린이공원,경상남도 김해시 본산리 1551,6,하늘걷기(2)+좌우파도타기(2)+다리운동(2)+맛사지기(2)+허리돌리기+허리돌리기,공원녹지과
구지공원,경상남도 김해시 구산동 248-12,3,윗몸일으키기+하늘걷기+좌우파도타기+허리돌리기+양팔돌리기+달리기,공원녹지과
새동네공원,경상남도 김해시 구산동 281,5,양팔줄당기기+달리기+자전거+좌우파도타기+허리돌리기+하늘걷기+양팔돌리기(2)+하늘걷기(2),공원녹지과
목화골공원,경상남도 김해시 구산동 311,3,달리기+좌우파도타기(2)+허리돌리기(3),공원녹지과
구주공공원,경상남도 김해시 구산동322,5,달리기(2)+허리돌리기+맛사지기+양팔돌리기(2)+양팔줄당기기+하늘걷기,공원녹지과
구산제5공원,경상남도 김해시 구산동 407,4,달리기+하늘걷기+맛사지기+윗몸일으키기+턱길이+줄당기기+양팔돌리기+허리돌리기,공원녹지과
구산제4공원,경상남도 김해시 구산동 416,3,허리돌리기+하늘걷기+좌우파도타기+온몸근육풀기+평행봉+팔굽혀펴기+벤치프레스+윗몸일으키기+줄타기+허리돌리기+철봉,공원녹지과
구산제3공원,경상남도 김해시 구산동 430-1,5,허리돌리기(2)+윗몸일으키기(2)+양팔줄당기기(2)+달리기+좌우파도타기+양팔줄당기기+하늘걷기,공원녹지과
구름송이공원,경상남도 김해시 구산동 1061,6,좌우파도타기(2)+하늘걷기+달리기+철봉(2)+윗몸일으키기+스트레칭,공원녹지과
도드리공원,경상남도 김해시 구산동 1073,1,허리돌리기(2),공원녹지과
남산바위공원,경상남도 김해시 구산동 1078,2,평행봉(2)+윗몸일으키기(2),공원녹지과
연지공원,경상남도 김해시 내동 106-1,5,평행봉+노젓기(2)+역기당기기(2)+맛사지기(2)+하늘걷기(2),공원녹지과
