설치주소,기구종류,기구수량,설치년도,관리주기,관리부서,데이터기준일자
전라북도 정읍시 금붕1길 1-1(대림@ ),"공중걷기, 싸이클+어깨유연성운동",2,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상동 253-8,"양팔로프당기기,싸이클+달리기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상동 253-8,"파도타기+허리돌리기,상체근육풀기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상동중앙로 62-13(현대3차아파트),"양팔로프당기기, 윗몸일으키기, 달리기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상동 146-1(현대3차@),어깨근육풀기,1,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상사3길47(엘지@),"양팔줄당기기, 허리돌리기",2,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상사3길47(엘지@),물결타기+오금펴기,1,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 학산로95(우미@),"하늘걷기, 마라톤달리기, 어깨근육풀기, 양팔줄당기기 2",5,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상동 82,거꾸로매달리기,1,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 금붕동 103-2(경로당),"허리돌리기+하늘걷기, 줄당기기+상체근육풀기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 금붕동 305-7(경로당),"허리돌리기+하늘걷기, 줄당기기+상체근육풀기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 금붕동 658-6(행정마을모정옆),"크로스컨트리, 트윈트위스트, 양팔줄당기기",3,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 금붕3길 22(금붕마을 회관),"로프당기기, 팔관절운동, 허리돌리기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 금붕2길 5(아랫마을 회관),"줄당기기, 허리돌리기",2,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정읍시 송산1길 150-12(마을회관 옆),양팔줄당기기+허리돌리기,1,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 송산동 420-2(마을공터 전두환기념비 철거장소),"줄당기기+어깨돌리기, 허리돌리기+물결타기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 송산동 95-3(종산마을광장),"상체근육풀기, 윗몸일으키기+허리돌리기, 양팔줄당기기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 부무길 42(경로당 옆),"줄당기기+어깨돌리기, 허리돌리기+물결타기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 부무길 42(경로당 옆),"거꾸로매달리기, 역기올리기+역기내리기",2,2021,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 부전동 130(마을회관),허리돌리기+달리기,1,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 월영1길 62(월영경로당),"원그리기, 온몸허리돌리기, 앉아밀어주기, 하늘걷기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 쌍암동 774-1(경로당),"달리기+어깨유연성, 줄당기기+상체근육풀기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 부여길25(모정),"상체근육풀기, 싸이클+허리돌리기",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 학산로 89-71(2단지 휴먼시아),"상체근육풀기, 허리돌리기, 양팔로프당기기, 역기내리기+역기올리기, 달리기+하늘걷기, 거꾸로매달리기",6,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 학산로 89-72(3단지 휴먼시아),"Y자걷기+하늘걷기, 싸이클+지압마사지기, 다리오므리기+양팔당기기, 양팔밀기+앉아다리밀기, 파도타기+활차, 양팔줄당기기",6,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 학산로 89-25(수목토@ 101동),"허리돌리기, 자유철봉, 역기올리기, 윗몸일으키기, 트렁크로라, 달리기운동",6,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 학산로 89-25(수목토@ 102동),"작은활차머신, 다리뻗치기, 등허리젖히기, 공중걷기, 파도타기, 큰활차머신",6,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 학산로 89-25(수목토@ 103동),"트렁크로라, 양팔줄당기기, 달리기운동, 허벅지근육풀기, 다리뻗치기",5,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 학산로 89-11(대광로제비앙@ 모정 옆),"줄당기기+어깨돌리기, 허리돌리기+물결타기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동409-5(제1시장김제묘목장),양팔로프당기기,1,2008,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동280-4(구시장 다목적광장),"허리돌리기, 상체근육풀기",2,2008,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시  샘골시장 고객쉼터 앞,"큰활차+작은활차,파도타기+노젓기",2,2021,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동375-5(정읍 애육원 앞),"파도타기, 하늘걷기, 상체근육풀기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동225-40(금강모텔뒤 소공원),"윗몸일으키기, 상체근육풀기, 허리돌리기, 양팔로프당기기, 하늘걷기",5,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동400(시기동 주민센터뒤),"허리돌리기, 윗몸일으키기, 상체근육풀기, 하늘걷기",4,2008,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동198-59대흥 노휴제 앞),"양팔로프당기기, 허리돌리기, 하늘걷기",3,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동400(시기동 주민센터뒤),양팔줄당기기,1,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 512-12(2통 모정 옆),"양팔줄당기기, 허리돌리기, 상체근육풀기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 141-3(아양경로당 앞),"허리돌리기, 하체근육풀기, 어깨유연성운동",3,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 451-24,"허리돌리기+양팔줄당기기, 오금펴기+역기올리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 558-46(효자마을 정자 옆),"트위스트, 스카이워킹, 등배지앞기, 양팔줄당기기, 터닝암, 역기내리기+오금펴기",6,2008,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 1-1(시영연립 단지내뒤),"양팔줄당기기, 트위스트, 윗몸일으키기, 등허리펴기",4,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 13(시기주공아파트 관리실 옆),"싸이클+등허리지압기, 하늘걷기,상체근육풀기",3,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동811-1(당현모정광장 내),"터닝암, 어깨풀기, 트위스트, 양팔줄당기기, 스카이워킹",5,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동112-7(영화@놀이터내),"터닝암, 물결타기",2,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동480-3(신기메이플 관리사무소 옆),허리돌리기,1,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동13 시기주공(시기주공아파트 104동 쉼터 옆),"트위스트, 등허리굽히기",2,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동523 유창1차@(경로당 앞),"양팔줄당기기, 온몸근육풀기, 하늘걷기",3,,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동100 센트럴카운티(관리사무소옆),"양팔줄당기기, 스카이워킹, 트위스트",3,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동13 시기주공@(시기주공아파트 관리실 옆),"양팔줄당기기, 트위스트, 트위스트2, 등허리지압기",4,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 1012 양우내안애(나래 어린이집앞),"허리돌리기, 상체근육풀기, 역기내리기",3,,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 1012 양우내안애(102동 뒷편),"공중하늘걷기, 온몸역기올리기, 가로하늘타기, 어깨유연성운동",4,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 506-14 시기현대@(남자경로당),"상체근육풀기, 허리돌리기, 오금펴기+역기올리기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 506-14 시기현대@(남자경로당),"공중걷기+사이클, 등허리지압기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 506-14 시기현대@(남자경로당),달리기+윗몸일으키기,1,2021,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 480-3(신기메이플 관리사무소 옆),"역기올리기+오금펴기, 허리돌리기+등허리지압기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 480-3(신기메이플 관리사무소 옆),상체근육풀기,1,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동490-1(놀이터),"상체근육풀기, 오금펴기, 등허리지압기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동490-1(놀이터),"하늘걷기+싸이클, 허리돌리기, 양팔줄당기기",3,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 1012(105동),"상체근육풀기,허리돌리기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기1길 22 (센트럴카운티 아파트 모정 옆),역기내리기+오금펴기,1,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 시기동 558-46(7통 모정 옆),"달리기+싸이클, 거꾸로매달리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동253-1(큰샘어린이집 앞),"양팔줄당기기, 트윈트위스",2,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지3길 86(경로당 앞),"파도타기,공중걷기, 다리마사지기, 자전거타기",4,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동 292-8(포켓공원),"로프당기기, 하늘걷기, 허리돌리기, 파도타기, 실외걷기",5,,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동 518-20(연지2통경로당 앞),"양팔 로프당기기+어깨 유연성운동, 허리돌리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동191-1,"크로스컨츄리, 상체근육풀기, 롤링웨이스트, 양팔줄당기기, 트리플트위스트",5,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동140-1(대실 모정),"파도타기, 오금펴기, 허리돌리기, 상체근육풀기, 실외걷기",5,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동65-6(동부경로당),"로프당기기, 실외걷기, 다리뻗기, 파도타기, 상체근육풀기",6,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동48-9(현대연립내),"허리돌리기, 하늘걷기, 실외걷기, 로프당기기",4,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동33-25(포켓공원),"허리돌리기, 실외걷기, 로프당기기, 트위스트, 상체근육풀기",5,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동21-84(죽림),"허리돌리기, 실외걷기, 로프당기기, 상체근육풀기",4,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동302-5(신흥단풍@내),"허리돌리기, 파도타기, 상체근육풀기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동49-33(터미널택시승강장),"허리돌리기, 양팔로프당기기",2,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동 도 343-33(정읍역택시승강장 앞),"양팔로프당기기, 허리돌리기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지시장2길 20 (5통 서부여성경로당 앞),"상체근육풀기+양팔줄당기기, 하늘걷기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지동 16통 대실우수저류시설 옆 포켓공원,"3단 철봉, 윗몸일으키기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 연지시장2길 20 (5통 서부여성경로당 앞),"등허리지압기+달리기, 윗몸일으키기",2,2021,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 공평동 284-18(마을공터),"허리돌리기, 상체근육풀기, 윗몸일으키기, 팔굽혀펴기, 허리운동기구, 양팔줄당기기",6,2004,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 공평동 284-19(마을공터),"물결타기+하늘걷기, 어깨유연성운동+상체근육풀기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 농소동 1520 주공@(마을공터),"공중걷기, 파도타기, 허리돌리기, 상체근육풀기, 윗몸일으키기, 노젓기, 양팔줄달리기",7,2008,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 농소동 1520 주공@마을공터,"등허리지압기, 역기내리기",2,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 복룡길 57마을공터,"공중걷기, 윗몸일으키기",2,2008,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 망제동104-15,"허리돌리기, 하늘걷기, 양팔줄당기기",3,2002,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용계동489-1(마을공터),양팔줄당기기,1,2004,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용계동 791-17(마을회관),"공중걷기+두팔노젓기, 다리뻗치기+등지압기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 망제동417,허리돌리기,1,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 충정로531-3(목련2차),"허리돌리기, 양팔줄당기기",2,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 농소동49-100(효죽마을 모정 옆),"상체근육풀기, 허리돌리기, 양팔줄당기기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 흑암동235-2,"양팔줄당기기, 허리돌리기, 어깨근육풀기",3,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용계동157-4,"허리돌리기, 상체근육풀기",2,2002,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 현암1길 34-2(경로당),"양팔줄당기기, 허리돌리기, 상체근육풀기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 흑암동 528-1 (신흥마을 회관 앞),"허리돌리기, 양팔줄당기기+하늘걷기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용계동 63-6 (구암마을 회관 앞),"큰활차머신+파도타기, 양팔줄당기기+자전거타기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 농소동 1222-1(기산마을 회관 앞),"상체근육풀기+양팔줄당기기,파도타기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 공평동 115-7(목련아파트 마을 회관 앞),"큰활차머신+허리돌리기,다리뻗치기+파도타기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 공평동 586(공평마을 회관 앞),"파도타기+공중걷기,큰활차머신+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 농소동 33-45 일원(효죽마을 회관 앞),"다리뻗치기+달리기운동, 윗몸일으키기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 망제동 403-1,"양팔줄당기기+허리돌리기,싸이클+어깨유연성운동",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 영파동 83-8 일원(가곡마을 회관 앞),"양팔줄당기기+상체근육풀기, 공중걷기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신월동683,"상체근육풀기, 허리 돌리기, 거꾸로매달리기",3,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 102-9(신흥장미1차@),"양팔로프당기기, 허리돌리기, 턱걸이, 상체근풀기",4,2010,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 교암동458-1,"상체근육풀기,  양팔로프당기기, 허리 돌리기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 삼산동 747-1,"상체근육풀기, 허리돌리기",2,2011,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 하모동 417-4(경로당),"양팔로프당기기, 허리 돌리기,하늘걷기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 진산동 355(경로당),"등허리지압기, 양팔로프당기기",1,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용산동 422-1(경로당),"양팔로프당기기, 파도타기, 허리돌리기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 97-4(신흥장미2차@),"양팔로프당기기, 허리돌리기, 파도타기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 97-4(신흥장미2차@),"달리기+하늘걷기,거꾸로매달리기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 과교동377(모정),"상체근육풀기, 양팔로프당기기, 허리돌리기",3,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동1456-1(마을뒤),"윗몸일르키기, 허리돌리기, 공중걷기,오금펴기,자전거타기,파도타기",2,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동575-2(마을입구 버스정류장 맞은편),"오금펴기, 파도타기, 공중걷기, 자전거타기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 진산동 106-1(삼군마을 당산나무),"양팔로프당기기, 허리돌리기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 진산1길 31(진산경로당),"양팔로프당기기, 등지압기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신월동 647-5(모정옆),"달리기, 상체근육풀기+허리돌리기, 파도타기",3,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 과교동 351(마을회관),"하늘걷기+허리돌리기, 양팔로프당기기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 과교동 130-3(마을회관),"하늘걷기+허리돌리기, 양팔로프당기기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상교동산 15-10(필야정),"허리돌리기+ 상체근육풀기, 오금펴기+상체근육운동기, 위몸일르키기,철봉,거꼬로매달리기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 400-5(마을회관),"하늘걷기+허리돌리기,양팔로프당기기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 77-6(마을회관),"하늘걷기+허리돌리기,양팔로프당기기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동 691-1(마을회관),"하늘걷기+허리돌리기,양팔로프당기기",2,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 원상평길 18(마을회관),"하늘걷기+허리돌리기, 줄당기기+상체근육풀기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 백학2길 115(마을회관),"싸이클+달리기,하늘걷기+등허리지압기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용산동 788-7,"허리돌리기+하늘걷기, 줄당기기+상체근육풀기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동 1469-3(경로당),"허리돌리기+하늘걷기, 줄당기기+상체근육풀기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 삼산동 938-15 (신구마을 모정 옆),"상체근육풀기+양팔줄당기기, 등허리지압기, 싸이클+허리돌리기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동 564-3 (전지마을 경로당 옆),"상체근육풀기+양팔줄당기기, 등허리지압기, 싸이클+허리돌리기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 795-1(향지마을 모정 옆),"상체근육풀기+양팡줄당기기, 등허리지압기, 싸이클+허리돌리기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 상평동 927-1(칠정1마을 진입로 앞),"상체근육풀기+양팔줄당기기, 등허리지압기, 싸이클+허리돌리기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 교암동 652-6(조월마을 모정 앞),"달리기+허리돌리기, 양팔줄당기기+싸이클",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동 1454(신정마을 경로당 앞),"역기내리기+허리돌리기, 상체근육풀기+줄당기기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신정동 813-2(금구마을 모정 앞),"상체근육풀기+양팔줄당기기, 등허리지압기, 싸이클+허리돌리기",3,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 용신길73(신기마을모정옆),"허리돌리기+상체근육풀기, 양팔로프당기기+어깨유연성",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 삼산동927(내동마을회관앞),"양팔줄당기기+싸이클, 큰활차머신+허리돌리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 유성길61(음성마을모정옆),"양팔로프당기기+하늘걷기, 어깨유연성+상체근육풀기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 석고길31(석고모정 옆),"로프당기기+어깨유연성, 상체근욱풀기+물결타기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신성길161(신성경로당앞),"로프당기기+어깨유연성, 허리돌리기+물결타기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신우길(산재마을회관앞),"앙팔로프당기기+어깨유연성, 허리돌리기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
