읍면동,설치위치,운동기구명,설치년도(년),설치업체,고장현황
온양1동,온천동 272-17,"달리기운동+하늘걷기(스윙워커), 활차머신, 허리돌리기",2017,명성이앤비㈜,해당없음
온양2동,온천동 1910,"역기올리기(체스트업), 다리근육풀기(트렁크로라머신), 허리돌리기, 하늘걷기",2019,명성이앤비㈜,해당없음
온양2동,온천동 1910,"활차머신, 로라맛사지+달리기운동, 하늘걷기+역기내리기, 옆파도타기(써핑롤링)+허리돌리기",2016,큐스포츠,해당없음
온양3동,모종동 578,"하늘걷기, 옆파도타기 2, 허리돌리기",2018,㈜오리온햄프로,해당없음
온양3동,권곡동 443-229,"옆파도타기+다리뻗치기(레그프레스), 하늘걷기+허리돌리기, 활차머신",2018,㈜명성이앤비,해당없음
온양3동,권곡동 610,"역기올리기, 로라맛사지+달리기운동, 하늘걷기, 옆파도타기+허리돌리기",2016,㈜제일체육공사,해당없음
온양3동,권곡동 85-3,"다리뻗치기, 하늘걷기, 옆파도타기",2015,㈜오리온햄프로,해당없음
온양4동,방축동 134-36,"허리돌리기, 옆파도타기, 활차머신",2017,㈜오리온햄프로,해당없음
온양4동,배미동 239-14,"다리뻗치기, 하늘걷기, 옆파도타기",2015,㈜오리온햄프로,해당없음
온양4동,방축동 140-7,"윗몸일으키기, 역기올리기+활차머신, 하늘걷기+역기내리기, 옆파도타기+허리돌리기",2015,㈜제일체육공사,해당없음
온양5동,기산동 141-36,"허리돌리기+자전거타기, 활차머신+달리기운동, 옆파도타기+다리뻗치기",2017,명성이앤비㈜,해당없음
온양5동,초사동 553-1,"달리기운동+하늘걷기, 옆파도타기, 활차머신",2017,㈜개선스프츠,해당없음
온양5동,신인동 407-2,"역기올리기+활차머신, 하늘걷기+역기내리기, 옆파도타기+허리돌리기, 활차머신",2015,㈜제일체육공사,해당없음
온양6동,장존동 305,"거꾸리, 역기올리기+역기내리기, 달리기운동+활차머신, 옆파도타기+하늘걷기",2019,열린스포츠,해당없음
온양6동,풍기동 447,"옆파도타기+허리돌리기, 달리기운동, 하늘걷기+옆파도타기, 거꾸리",2015,큐스포츠,해당없음
온양6동,풍기동 229-71,"다리뻗치기, 하늘걷기, 다리근육풀기+등허리지압기, 양팔줄당기기",2019,큐스포츠,해당없음
온양6동,읍내동 53-1,"다리근육풀기+등허리지압기, 양팔줄당기기+활차머신, 하늘걷기+허리돌리기",2019,큐스포츠,해당없음
염치읍,염치읍 산양리 132-3(산양3리),"활차머신+양팔줄당기기, 달리기운동+활차머신",2019,명성이앤비㈜,해당없음
염치읍,염치읍 염성리 343,"옆파도타기, 하늘걷기, 다리뻗치기",2018,㈜오리온햄프로,해당없음
염치읍,염치읍 산양리 175-1(산양1리),"활차머신, 역기내리기+옆파도타기, 활차머신+하늘걷기",2017,㈜제일체육공사,해당없음
염치읍,염치읍 백암리 346-5,"다리뻗치기, 허리돌리기, 활차머신",2016,㈜오리온햄프로,해당없음
염치읍,염치읍 백암리 331-2,"하늘걷기, 허리돌리기",2016,㈜오리온햄프로,해당없음
염치읍,염치읍 백암리 214-6,"다리뻗치기, 옆파도타기, 활차머신",2016,㈜오리온햄프로,해당없음
염치읍,염치읍 방현리 442,"윗몸일으키기+허리돌리기, 활차머신+양팔줄당기기, 하늘걷기+자전거타기",2015,㈜오리온햄프로,해당없음
배방읍,배방읍 북수리 702-1(북수5리),"허리돌리기+하늘걷기, 활차머신+양팔줄당기기",2019,명성이앤비㈜,해당없음
배방읍,배방읍 중리 90-14(중3리),"자전거타기+활차머신, 활차머신+양팔줄당기기",2019,명성이앤비㈜,해당없음
배방읍,배방읍 북수리 98(북수7리),"옆파도타기+하늘걷기, 달리기운동+활차머신",2019,호진기계주식회사,해당없음
배방읍,배방읍 세교리 205(세교2리),"자전거타기, 하늘걷기+허리돌리기",2019,호진기계주식회사,해당없음
배방읍,배방읍 공수리 114-2(공수2리),"등허리젖히기, 다리뻗치기, 허리돌리기, 활차머신+양팔줄당기기",2019,㈜오리온햄프로,해당없음
배방읍,배방읍 수철리 970,"허리돌리기+윗몸일으키기, 등허리지압+다리근육풀기, 활차머신+철봉, 옆파도타기+평행봉",2018,명성이앤비㈜,해당없음
배방읍,배방읍 중리 480-1,"활차머신, 옆파도타기+다리뻗치기",2018,명성이앤비㈜,해당없음
배방읍,배방읍 갈매리 452(갈매체육공원),"철봉+양팔줄당기기, 등허리지압+노젓기, 활차머신+자전거타기, 달리기운동+하늘걷기, 윗몸일으키기+허리돌리기, 활차머신, 철봉, 평행봉",2018,명성이앤비㈜,수리필요
배방읍,배방읍 세교리 889-32(봉강천변),"달리기운동+하늘걷기, 옆파도타기+활차머신, 역기올리기+활차머신",2017,개선스포츠,해당없음
배방읍,배방읍 공수리 1439(공수4리),"등허리지압+노젓기, 하늘걷기+허리돌리기, 옆파도타기+다리뻗치기",2017,큐스포츠,해당없음
배방읍,배방읍 세교리 432(세교3리),"역기내리기+활차머신, 다리뻗치기+등허리지압, 옆파도타기+하늘걷기, 활차머신",2016,열린스포츠,해당없음
배방읍,배방읍 세교리 205(세교2리),"역기내리기+활차머신, 다리뻗치기",2016,삼성스포츠,해당없음
배방읍,배방읍 신흥리 330-3,"하늘걷기, 활차머신, 다리뻗치기, 등허리젖히기",2016,삼성스포츠,해당없음
배방읍,배방읍 휴대리 28,"허리돌리기, 활차머신, 다리뻗치기, 등허리젖히기",2016,삼성스포츠,해당없음
배방읍,배방읍 북수리 591-6,"역기내리기+활차머신, 옆파도타기+하늘걷기, 허리돌리기+윗몸일으키기,다리뻗치기",2015,열린스포츠,해당없음
배방읍,배방읍 공수리 636,"역기올리기+역기내리기, 노젓기+등허리지압, 달리기운동+허리돌리기",2015,신영스포츠,해당없음
배방읍,배방읍 회룡리 63,"옆파도타기+하늘걷기, 허리돌리기+윗몸일으키기",2015,열린스포츠,해당없음
송악면,송악면 종곡리 113-3,"윗몸일으키기+허리돌리기, 다리뻗치기+옆파도타기, 양팔줄당기기+활차머신, 달리기운동+하늘걷기",2019,㈜명성이앤비,해당없음
송악면,송악면 수곡리 273,"등허리지압, 옆파도타기, 달리기운동+하늘걷기, 활차머신",2019,㈜개선스포스,해당없음
송악면,송악면 거산리 57,"하늘걷기, 다리뻗치기, 옆파도타기",2017,㈜오리온햄프로,해당없음
송악면,송악면 역촌리 23,"하늘걷기, 허리돌리기+윗몸일으키기",2016,열린스포츠,해당없음
송악면,송악면 송학리 173,"하늘걷기+자전거타기, 달리기운동+옆파도타기, 등허리젖히기",2016,열린스포츠,해당없음
송악면,송악면 송학리 141-3,"역기내리기+활차머신, 옆파도타기+하늘걷기, 양팔줄당기기, 허리돌리기",2016,열린스포츠,해당없음
송악면,송악면 외암리 328-3,"역기내리기+활차머신, 옆파도타기+하늘걷기, 허리돌리기+윗몸일으키기, 다리뻗치기",2015,열린스포츠,해당없음
탕정면,탕정면 매곡리 582-1(매곡1리),"윗몸일으키기+허리돌리기, 활차머신, 옆파도타기, 거꾸리",2018,㈜오리온햄프로,해당없음
탕정면,탕정면 용두리 112-1,"옆파도타기+하늘걷기, 역기내리기+활차머신, 양팔줄당기기, 허리돌리기",2016,호진기계주식회사,해당없음
탕정면,탕정면 호산리 5-1,"활차머신, 로라맛사지+달리기운동, 하늘걷기+역기내리기, 옆파도타기+허리돌리기",2015,㈜제일체육공사,해당없음
음봉면,음봉면 쌍룡리 314-5,"역기올리기, 하늘걷기, 자전거타기, 활차머신",2019,금보인터내셔널,해당없음
음봉면,음봉면 신휴리 214-5(신휴3리),"자전거타기, 하늘걷기",2019,호진기계주식회사,해당없음
음봉면,음봉면 원남리 257-12,"활차머신+하늘걷기, 허리돌리기+달리기운동, 역기올리기+활차머신, 하늘걷기",2017,㈜제일체육공사,해당없음
음봉면,음봉면 동암리 610-10,"활차머신, 달리기운동, 역기올리기",2016,㈜한성파크,해당없음
음봉면,음봉면 산정리 70-5,"역기올리기, 활차머신, 자전거타기",2016,㈜오리온햄프로,해당없음
음봉면,음봉면 신휴리 92-3,"활차머신, 달리기운동, 역기올리기",2016,㈜한성파크,해당없음
음봉면,음봉면 소동리 236-4,"윗몸일으키기, 옆파도타기, 허리돌리기, 달리기운동+하늘걷기",2015,㈜개선스프츠,해당없음
음봉면,음봉면 신정리 94-2,"로라맛사지, 옆파도타기+허리돌리기, 하늘걷기+활차머신, 달리기운동",2015,㈜제일체육공사,해당없음
음봉면,음봉면 동암리 522-16,"허리돌리기, 활차머신, 로라맛사지",2015,㈜제일체육공사,해당없음
둔포면,둔포면 관대길39번길 7,"등허리지압+다리근육풀기, 활차머신+양팔줄당기기, 옆파도타기+다리뻗치기,허리돌리기+하늘걷기",2019,명성이앤비㈜,해당없음
둔포면,둔포면 신항리 96-26(송용3리 지하차도 부근),"하늘걷기, 허리돌리기+활차머신, 역기올리기+역기내리기, 윗몸일으키기+허리돌리기",2018,명성이앤비㈜,해당없음
둔포면,둔포면 신왕리 59-3(신왕2리),"하늘걷기, 양팔줄당기기+활차머신, 옆파도타기+다리뻗치기, 허리돌리기",2018,명성이앤비㈜,해당없음
둔포면,둔포면 봉재리 79(봉재3리),"옆파도타기, 다리뻗치기+등허리지압",2017,호진기계주식회사,해당없음
둔포면,둔포면 둔포리 255-2(둔포4리),"하늘걷기, 등허리지압, 옆파도타기",2017,㈜오리온햄프로,해당없음
둔포면,둔포면 신왕리 32-9,"허리돌리기, 활차머신",2016,㈜오리온햄프로,해당없음
둔포면,둔포면 봉재리 5-19,"허리돌리기, 활차머신",2016,㈜오리온햄프로,해당없음
둔포면,둔포면 둔포리 444-3(둔포5리),"허리돌리기, 활차머신",2016,㈜오리온햄프로,해당없음
둔포면,둔포면 송용리 338,"허리돌리기, 옆파도타기+다리근육풀기",2016,㈜개선스포츠,해당없음
둔포면,둔포면 둔포리 354-7(둔포6리),"다리뻗치기+활차머신, 다리뻗치기+역기내리기, 달리기운동+윗몸일으키기,하늘걷기+옆파도타기",2015,호진기계주식회사,해당없음
둔포면,둔포면 봉재리 276(봉재4리),"역기올리기, 레그익스텐션, 허리돌리기+옆파도타기",2015,㈜오리온햄프로,해당없음
영인면,영인면 아산리 323-8,"양팔줄당기기+활차머신, 활차머신+달리기운동",2019,명성이앤비㈜,해당없음
영인면,영인면 창용리 195-1,"다리뻗치기, 하늘걷기, 옆파도타기",2016,㈜오리온햄프로,해당없음
영인면,영인면 성내리 744-6,"달리기운동+하늘걷기, 노젓기+활차머신, 역기올리기",2015,㈜개선스포츠,해당없음
영인면,영인면 구성리 334-2,"다리뻗치기, 하늘걷기, 옆파도타기",2015,㈜오리온햄프로,해당없음
인주면,인주면 공세리 149-3,"등허리지압+노젓기, 하늘걷기+자전거타기",2018,명성이앤비㈜,해당없음
인주면,인주면 문방리 51-8,"등허리지압+노젓기, 활차머신+양팔줄당기기",2018,명성이앤비㈜,해당없음
인주면,인주면 금성리 183-1,"등허리지압+노젓기, 역기올리기",2018,명성이앤비㈜,해당없음
인주면,인주면 도흥리 203-5,"다리뻗치기+옆파도타기, 허리돌리기, 활차머신",2016,㈜오리온햄프로,해당없음
인주면,인주면 신성리 432,"옆파도타기, 다리뻗치기",2016,더플레이,해당없음
인주면,인주면 문방리 산54-1,"허리돌리기, 옆파도타기",2016,㈜오리온햄프로,해당없음
인주면,인주면 해암리 280-4,"옆파도타기+하늘걷기, 허리돌리기+윗몸일으키기",2016,더플레이,해당없음
인주면,인주면 대음리 322-4,"허리돌리기, 등허리지압, 달리기운동, 레그암",2015,한성파크,해당없음
선장면,선장면 대흥리 304-57,"옆파도타기, 활차머신, 달리기운동+하늘걷기, 윗몸일으키기+등허리지압,활차머신",2018,㈜개선스포츠,해당없음
선장면,선장면 장곳리 457,"윗몸일으키기+등허리지압, 달리기운동+다리근육풀기, 역기올리기+활차머신,활차머신",2017,㈜개선스포츠,해당없음
선장면,선장면 신동리 171-10(신동2리),"역기올리기, 달리기운동+하늘걷기, 역기올리기+활차머신",2017,㈜개선스포츠,해당없음
선장면,선장면 신성리 132-7(신성1리),"달리기운동+하늘걷기, 옆파도타기, 달리기운동+허리돌리기, 노젓기",2016,㈜개선스포츠,해당없음
선장면,선장면 죽산리 23,"달리기운동+허리돌리기, 달리기운동+하늘걷기, 역기올리기+활차머신",2016,㈜개선스포츠,해당없음
선장면,선장면 대흥리 283-2,"달리기운동+하늘걷기, 다리뻗치기, 역기올리기",2015,㈜개선스포츠,해당없음
선장면,선장면 군덕리 832,"다리뻗치기, 윗몸일으키기",2015,㈜개선스포츠,해당없음
선장면,선장면 선창리 187-17,"옆파도타기, 달리기운동+하늘걷기, 허리돌리기+활차머신, 활차머신",2015,㈜개선스포츠,해당없음
도고면,도고면 와산리 142-2,"달리기운동+하늘걷기, 양팔줄당기기+활차머신, 다리근육풀기+등허리지압,윗몸일으키기+허리돌리기",2019,명성이앤비㈜,해당없음
도고면,도고면 와산리 250-1,"다리뻗치기, 허리돌리기, 옆파도타기, 철봉+양팔줄당기기",2019,㈜오리온햄프로,해당없음
도고면,도고면 도산리 128-2,"허리돌리기, 옆파도타기",2019,㈜오리온햄프로,해당없음
도고면,도고면 신언리 827,"하늘걷기, 옆파도타기, 계단걷기, 허리돌리기, 달리기운동+활차머신",2019,호진기계주식회사,해당없음
도고면,도고면 신언리 171(신언3리),"달리기운동, 다리뻗치기, 역기올리기",2018,㈜개선스프츠,해당없음
도고면,도고면 시전리 581-79,"양팔줄당기기+활차머신, 달리기운동+하늘걷기, 활차머신+자전거타기",2018,명성이앤비㈜,해당없음
도고면,도고면 시전리 484(시전1리),"허리돌리기, 옆파도타기",2018,㈜오리온햄프로,해당없음
도고면,도고면 신언리 825(신언3리),"옆파도타기, 활차머신, 달리기운동+하늘걷기, 역기올리기+활차머신",2018,㈜개선스포츠,해당없음
도고면,도고면 신통리 235-2,"허리돌리기, 윗몸일으키기+등허리지압, 하늘걷기+옆파도타기",2017,㈜개선스포츠,해당없음
도고면,도고면 기곡리 213-4(기곡2리),"옆파도타기+허리돌리기, 활차머신, 하늘걷기, 다리뻗치기",2016,㈜제일체육공사,해당없음
도고면,도고면 신언리 134-4(신언2리),"옆파도타기, 활차머신, 달리기운동+하늘걷기, 활차머신",2015,㈜개선스프츠,해당없음
도고면,도고면 기곡리 270-75(기곡1리),"다리뻗치기, 하늘걷기, 옆파도타기",2015,㈜오리온햄프로,해당없음
신창면,신창면 가내리 510-2(가내2리),"달리기운동+옆파도타기, 활차머신, 역기올리기+역기내리기",2019,㈜오리온햄프로,해당없음
신창면,신창면 궁화리 327-9(궁화1리),"달리기운동+옆파도타기, 활차머신, 역기올리기+역기내리기",2019,㈜오리온햄프로,해당없음
신창면,신창면 황산리 337-9,"옆파도타기+다리뻗치기, 역기올리기+역기내리기, 달리기운동+하늘걷기",2019,㈜명성이앤비,해당없음
신창면,신창면 남성리 423-1(남성1리),"달리기운동+옆파도타기, 활차머신, 역기올리기+역기내리기",2018,㈜오리온햄프로,해당없음
신창면,신창면 남성리 205-1(남성6리),"다리근육풀기, 활차머신, 철봉, 옆파도타기",2018,㈜오리온햄프로,해당없음
신창면,신창면 읍내리 579-9(읍내4리),"체어풀, 거꾸리, 달리기운동, 활차머신, 윗몸일으키기",2018,㈜오리온햄프로,해당없음
신창면,신창면 궁화리 539-5(궁화2리),"달리기운동+옆파도타기, 활차머신, 역기올리기+역기내리기",2018,㈜오리온햄프로,해당없음
신창면,신창면 신달리 216-4(신달2리),"달리기운동+옆파도타기, 활차머신, 역기올리기+역기내리기",2018,㈜오리온햄프로,해당없음
신창면,신창면 가덕리 162-1,"역기올리기+역기내리기, 달리기운동+옆파도타기, 활차머신",2017,㈜오리온햄프로,해당없음
신창면,신창면 신곡리 68-2,"역기올리기+역기내리기, 달리기운동+옆파도타기, 활차머신",2017,㈜오리온햄프로,해당없음
신창면,신창면 가내리 331-3,"역기올리기+역기내리기, 달리기운동+옆파도타기, 활차머신",2017,㈜오리온햄프로,해당없음
신창면,신창면 남성리 840,"하늘걷기, 다리뻗치기, 옆파도타기",2016,㈜오리온햄프로,해당없음
신창면,신창면 가내리 43-1,"활차머신, 허리돌리기",2015,㈜오리온햄프로,해당없음
